Question,A,B,C,D,Explanation,Answer
Muscle relaxant used in renal failure :,Ketamine,Atracurium,Pancuronium,Fentanyl,B i.e. Atracurium,B
Which of the following is an ester:,Chlorprocaine,Bupivacaine,Dibucaine,Prilocaine,"Ans: (a) ChlorprocaineESTER and AMIDESEster (one Tin name)Amides (2 Tin name)* Cocaine* Benzocaine* Chlorprocaine* Tetracaine* Lignocaine* Bupivacaine* Prilocaine* Dibucaine* EtidocaineRemember: Amide group of LA contain ""2 i"" in their names.* All LA causes causes vasodilation and hypotension, EXCEPT Cocaine. It causes vasoconstriction and significant rise in BP.",A
All of the following cause myocardial depression except:,Halothane,Etomidate,Thiopentone,Ketamine,"B i.e. Etomidate - Etomidate causes adreno - coical suppressionQ by inhibiting enzymes 11/3 hydroxylase (mainly) & 17 a hydroxylase involved in coisol and aldosterone (mineralocoicoid) productionQ. Vit C supplimentation restores coisol level. - Etomidate and midazolam provide cardiovascular stabilityQ. But etomidate is most cardiostable agentQ that causes the least hemodynamic disturbance of any of the intravenous anesthetic agents. So it is intravenous anesthetic agent of choice for patients with cardiac disease and aneurysm surgeryQ. - Direct myocardial depression is caused by halothane (severe), nitrous oxide (moderate), iso/sevo/des-flurane (mild), thiopental (marked), propofol (dose dependent) and ketamineQ (but this is masked by cardiotonic sympathetic stimulatory action). Etomidate > midazolem are most cardiostable agentsQ.",B
Gas stored in liquid form is:,Carbon dioxide,Nitrous oxide,Cyclopropane,Oxygen,Nitrous oxide,B
A cardiovascular parameter helpful in diagnosis of anaphylaxis during anaesthesia:,Dysrhythmia,Bradycardia,Increased peripheral vascular resistance,Hypotension,Most impoant parameter during anaphylaxis which appears during anesthesia- Hypotension Management:- Stop medication- Give 100% O2- IV adrenaline,D
Which one of the following is the shortest acting intravenous analgesic –,Remifantanil,Fentanyl,Alfentanil,Sufentanil,Remifentanil is the shortest acting opioid due to rapid hydrolysis by pseudocholinesterase.,A
Rate of induction of the anaesthesia is increased by all of the following except,agents with low blood gas solubility,high Cardiac Output,Second gas effect,high alveolar ventilation,High cardiac output causes fast uptake of potent inhalational agent from alveoli thus slow speed of induction. rest all options maintain alveolar concentration .,B
Gas cylinder with single pin index ?,Oxygen,Air,Nitrogen,Entonox,"Ans. is'd' i.e., Entonox",D
Which of the following anesthetic agents causes a rise in the Intracranial pressure,Sevoflurane,Thiopentone sodium,Lignocaine,Propofol,"Sevoflurane's solubility in blood is slightly greater than desflurane (lb/g 0.65 versus 0.42). Nonpungency and rapid increases in alveolar anesthetic concentration make sevoflurane an excellent choice for smooth and rapid inhalation inductions in pediatric and adult patients. In fact, inhalation induction with 4% to 8% sevoflurane in a 50% mixture of nitrous oxide and oxygen can be achieved within 1 min. Likewise, its low blood solubility results in a rapid fall in alveolar anesthetic concentration upon discontinuation and a more rapid emergence compared with isoflurane. Similar to isoflurane and desflurane, sevoflurane causes slight increases in CBF and intracranial pressure at normocarbia, although some studies show a decrease in CBF. High concentrations of sevoflurane (>1.5 MAC) may impair the autoregulation of CBF, thus allowing a drop in CBF during hemorrhagic hypotension. This effect on CBF autoregulation seems to be less pronounced than with isoflurane. Cerebral metabolic oxygen requirements decrease, and seizure activity has not been repoed. Propofol and thiopentone are cerebroprotective as they reduce ICP and CMRO2. Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",A
All of the following is true about BLS in a child except:,Compresions: ventilation ratio is 15:2 when more than one rescuer is present in an infant,Brachial pulse check in an infant,Most common cause of cardiac arrest is ventricular fibrillation,Adrenaline is the drug of choice,"In children, the more common cause of cardiac arrest isasphyxiarather than ventricular. Even though asphyxia is the more common cause,pediatric resuscitation stas with chest compressions rather than rescue breaths as in adultsfor simplicity in training. This is because the cycle of30 chest compressionsbefore rescue breathing delays ventilation for only15 to 20 seconds. During cardiopulmonary resuscitation of infants and children, the ratio of chest compression to rescue breaths is 30:2 for a single rescuer and 15:2 if 2 or more rescuers are present. The initial energy to be set for defibrillation is at 2 J/kg for both monophasic and biphasic waveforms.It can be increased to 4 J/kg if a second shock is to be delivered. In adults, the ratio is 30:2irrespective of the number of rescuers. In infants and children, the depth of compression should be at least one-third of the anteroposterior diameter of the chest which is about 5 cm in children and 4 cm in infants. The compression rate should be 100-120/ minute. Allow complete chest recoil after each compression. Minimize interruptions in compressions (10 seconds or less). Rotate compressor every 2 minutes or earlier if fatigued. Avoid excessive ventilation.",C
Placement of a double lumen tube for lung surgery is best confirmed by –,EtCO2,Airway pressure measurement,Clinically by auscultation,Bronchoscopy,"↵

Best confirmation of tracheal placement (i.e. detection whether tube is in trachea or esophagus) → capnography (end tidal CO2)
Best confirmation of double lumen tube placement (whether in trachea or bronchus) → flexible fibreoptic bronchoscopy.",D
Not used topically is:,Lignocaine,Bupivicaine,Dibucaine,Tetracaine,Bupivicaine,B
Which of the following is true about hypothermia during anesthesia?,Beneficial to patients,Prevented by giving warm fluids,Body looses heat mainly by conduction,Always occur irrespective of the type of anesthesia,"Ans. b. Prevented by giving warm fluids Hypothermia during anesthesia can be prevented by giving warm fluids. Hypothermia During Anesthesia Mild hypothermia is extremely common during anesthesia and surgery. The physiological effects of hypothermia may have significant potential for detrimental effects on patient well-being. Major consequences of inadveent hypothermia include morbid myocardial events, reduced resistance to surgical wound infection, impaired coagulation, delayed recovery, and postoperative shivering. Heat loss occurs primarily from the skin of a patient to the environment through several processes, including radiation, conduction and convection, and evaporation. Of these, radiation is most significant and accounts for --60% of total heat loss. Drug metabolism can be markedly decreased by hypothermia. Although hypothermia is generally regarded as deleterious, it can be beneficial in some situations. Hypothermia decreases the overall metabolic rate by 8% per degC to about half the normal rate at 28degC. Oxygen demand drops and those tissues that have high oxygen consumption normally, such as brain and hea, have a propoionally greater reduction of oxygen use. This allows aerobic metabolism to continue through greater periods of compromised oxygen supply, thereby reducing the production of anaerobic byproducts such as superoxide radicals and lactate. Hypothermia During Anesthesia Hypothermia lowers intracranial pressures and cerebral perfusion pressure. Warming of fluids can only help to minimize heat loss. Warm fluids are probably of benefit only when large amounts are administered for fluid replacement.",B
Muscle relaxant contraindicated in Renal failure,Gallamine,d-TC,Vecuronium,Atracurium,Gallamine is the muscle relaxant that entirely depends on renal excretion. and metocurine is also contraindicated in renal failure.,A
Most cardiotoxic local anesthetic,Procaine,Bupivacaine,Cocaine,Lidocaine,"Bupivacaine is the most cardiotoxic LA (Ropivacaine is a newer bupivacaine congenial with less cardiotoxicity).(Refer: stoelting's pharmacology and physiology in anaesthetic practice, 5th edition, pg no.294)",B
Which neuromuscular blocker releases histamine,Pancuronium,Atracurium,Vecuronium,Rocuronium,Atracurium * Bisquaternary ammonium Benzylisoquinoline * ED 95 = 0.2 to 0.25mg/kg * Intubating dose- 0.5mg/kg. * Maintenance - 0.05 to 0.1mg/kg Drug of choice in patient with renal and hepaticd dysfunction * onset of action= 3-5min (0.5mg/kg) * duration of action= 20-35min * about 82% is bound to albumin * triggers dose-dependent histamine release that becomes significant at doses above 0.5 mg/kg,B
Hyperbaric oxygen therapy is indicated for treatment of?,CO poisoning,Caisson disease,Gas gangrene,All,"Hyperbaric oxygen therapy uses a pressurized chamber to expose the patient to oxygen tensions exceeding ambient barometric pressure (at sea level the ambient pressure is 760 mm Hg). Common indications for hyperbaric oxygen include decompression sickness (the ""bends""), ceain forms of gas embolism, gas gangrene, carbon monoxide poisoning, and treatment of ceain wounds.",D
A 32 year old chronic alcoholic patient known case of chronic liver disease is posted emergency laparoscopic appendectomy. which among the following inhalational anaesthetic agent should be used for induction,Methoxyflurane,Sevoflurane,Desflurane,Isoflurane,Desflurane > Isoflurane is preferred agent for induction in liver disease patients.,C
All of the following are the indications of non invasive ventilation except,GCS <8,Conscious and cooperative patient,COPD,ARDS,"Noninvasive ventilation (NIV) refers to the administration of ventilatory suppo without using an invasive aificial airway (endotracheal tube or tracheostomy tube). The use of noninvasive ventilation (see the video below) has markedly increased over the past two decades, and noninvasive ventilation has now become an integral tool in the management of both acute and chronic respiratory failure, in both the home setting and in the critical care unit. Noninvasive ventilation has been used as a replacement for invasive ventilation, and its flexibility also allows it to be a valuable complement in patient management. Its use in acute respiratory failure is well accepted and widespread. It is the focus of this review. The role of noninvasive ventilation in those with chronic respiratory failure is not as clear and remains to be defined. The key to the successful application of noninvasive ventilation is in recognizing its capabilities and limitations. This also requires identification of the appropriate patient for the application of noninvasive ventilation (NIV). Patient selection is crucial for the successful application of noninvasive ventilation. Once patients who require immediate intubation are eliminated, a careful assessment of the patient and his or her condition determines if the patient is a candidate for noninvasive ventilation. This requires evaluation on several levels, and it may involve a trial of noninvasive ventilation. The following variables and factors help identify patients who may be candidates for noninvasive positive-pressure ventilation. Absolute contraindications are as follows: Coma Cardiac arrest Respiratory arrest Any condition requiring immediate intubation Other contraindications (rare exceptions) are as follows: Cardiac instability - Shock and need for pressor suppo, ventricular dysrhythmias, complicated acute myocardial infarction GI bleeding - Intractable emesis and/or uncontrollable bleeding Inability to protect airway - Impaired cough or swallowing, poor clearance of secretions, depressed sensorium and lethargy Status epilepticus Potential for upper airway obstruction - Extensive head and neck tumors, any other tumor with extrinsic airway compression, angioedema or anaphylaxis causing airway compromise Other considerations that may limit application are as follows: Implementation - Staff learning curve and time requirements (nursing and respiratory therapy), potential for delay in definitive therapy (limit trials of therapy) After eliminating unsuitable candidates for noninvasive ventilation, successful application of noninvasive ventilation mandates close assessment and selection of patients and identification of conditions best suited for treatment. Not all patients with diagnoses capable of management with noninvasive ventilation (eg, Patient inclusion criteria are as follows: Patient cooperation (an essential component that excludes agitated, belligerent, or comatose patients) Dyspnea (moderate to severe, but sho of respiratory failure) Tachypnea (>24 breaths/min) Increased work of breathing (accessory muscle use, pursed-lips breathing) Hypercapnic Hypoxemia (PaO2/FIO2< 200 mm Hg, best in rapidly reversible causes of hypoxemia) NIV is indicated in adults as follows: Obstructive sleep apnea syndrome. Chronic obstructive pulmonary disease with exacerbation. Bilateral pneumonia. Acute congestivehea failure with pulmonary edema. Neuromuscular disorders. Acute lung injury/ Acute respiratory distress syndrome.",A
Malignant hyperthermia is associated with all of the following except?,Succinyl choline,Dantrolene,Halothane,Methoxyflarane,"Ans. is 'b' i.e., Dantrolene Drugs causing malignant hyperthermia* Succinylcholine, Desflurane, Tricyclic antidepressants, Halothane, Cyclopropane, Phenothiazines, Isoflurane, Ether, Lignocaine, Enflurane, Methoxyflurane, Sevoflurane & MAO inhibitors.* Succinylcholine is the most common cause of MH.* Amongst inhalational agents halothane is the most common cause.",B
The following ETC02 curve depicts what,spontaneous effos,bronchos pasm,Esophageal intubation,Accidental extubation,curare notch ref : willey 10th ed,A
Minimum alveolar concentration of an inhaled anesthetic is a marker of:,Potency,Efficacy,Elimination,Distribution,"Ref: Miller Textbook of Anaesthesia. 7th ed.Explanation:Minimum alveolar concentration or MACll is a concept used to compare the strengths, or potency, of anaesthetic vapoursIt it is defined as the concentration of the vapour in the lungs that is needed to prevent movement (motor response) in 50% of subjects in response to surgical (pain) stimulus.A lower MAC value represents a more potent volatile anesthetic.Meyer-Overton hypothesisThe MAC of a volatile substance is inversely proportional to its lipid solubility (oil:gas coefficient)MAC is inversely related to potency i.e. high mac equals low potency.The hypothesis correlates lipid solubility of an anaesthetic agent with potency (1/MAC) and suggests that onset of anaesthesia occurs when sufficient molecules of the anaesthetic agent have dissolved in the cell's lipid membranes, resulting in anaesthesia.Common MAC valuesNitrous oxide - 104Xenon -72Desflurane - 6Ethyl Ether - 3.2Sevo flu rune - 2Enflurune - 1.7Isoflurane - 1.2Halothane - U.75Chloroform - 0.5M ethoxy flurane - 0.16",A
Inducing agent of choice in DIC –,Thiopentone,Ketamine,Methohexitone,Propofol,"DIC (disseminated intravascular coagulation) is characterized by profound hypotension.
Ketamine is the inducing agent of choice in hypotensive conditions as it raises the BP.",B
Which of the following intravenous anaesthetic agent has extrahepatic additional route of metabolism -,Thiopentone,Propofol,Etomidate,Ketamine,"The clearance rate of Propofol exceeds hepatic blood flow, suggesting that an extrahepatic route of elimination also contribution its clearance. since propofol has extrahepatic and extrarenal route of metabolism its metabolism is never delayed in hepatic and renal failure.",B
Modified Glasgow coma scale defines neurologic impairment in terms of:,"Pupillary size, level of consciousness and motor function","Speech, cardiovascular status a consciousness","Sensory, motor function and speech","Eye opening, best verbal response and motor function","(D) Eye opening, best verbal response and motor function > Scale comprises three tests: eye, verbal and motor responses. The three values separately as well as their sum are considered.> Lowest possible GCS (the sum) is 3 (deep coma or death), whilst the highest is 15 (fully awake person).> Best eye response (E):> There are 4 grades starting with the most severe:> No eye opening> Eye opening in response to pain. (Patient responds to pressure on the patient's fingernail bed; if this does not elicit a response, supraorbital and sternal pressure or rub may be used.)> Eye opening to speech. (Not to be confused with an awaking of a sleeping person; such patients receive a score of 4, not 3.)> Eyes opening spontaneously> Best verbal response (V):",D
Anaesthesia of choice for induction in children is:,Procaine,Desflurane,Sevoflurane,Ropivacaine,Sevoflurane,C
Which of the following is not a useful fluid for resuscitation in cardiac Arrest Patient:-,Normal Saline,Ringers Lactate,5% Dextrose,Whole Blood,5% Dextrose is not a fluid to be ued for resusitation as dextrose is metabolised and it rest becomes free water.,C
A 20 yr old patient presented with early pregnancy for Medical Termination of Preg-nancy (MTP) in day care facility. What will be the anesthetic induction agent of choice?,Thiopentone,Ketamine,Propofol,Diazepam,C i.e. Propofol,C
All are indications for one - lung ventilation except?,Bronchopleural fistula,Massive hemorrhage in one lung,Video - assisted thorecoscopy,Cardiac surgery,"One lung ventilation is not required in cardiac surgery. It is required for thoracic surgery and for lung separation. Definition One-lung ventilation (OLV), or lung isolation, is frequently employed for intrathoracic surgical procedures and is also used in situations where pathology may affect one lung but not the other. Lung isolation may be accomplished by a number of methods including double lumen endotracheal tubes, placement of a bronchial blocker through a single lumen endotracheal tube, and single lumen endobronchial tubes (or advancement of a single lumen endotracheal tube to an endobronchial position. Slinger describes three general categories for classification of indications for lung isolation. Surgical Exposure Protection of contralateral lung from injury or pathology Maintenance of continuous ventilation during differential lung ventilation (bronchopleural fistula, history of single lung transplant with severe obstructive disease of native lung, or large bleb/bullae, etc) Barash fuher divides indications for OLV absolute or relative Absolute Indications 1. Lung isolation to prevent damage or contamination of healthy lung Pulmonary hemorrhage or lung abscess 2. Control of Distribution of Ventilation Bronchopleural fistula, bronchial disruption from trauma, or major cyst or bulla 3. Single Lung Lavage As during treatment for pulmonary alveolar proteinosis or cystic fibrosis 4. Surgical Exposure for Video-assisted thoracoscopic surgery (VATS) Relative Indications Surgical Exposure (Strong) Thoracic Aoic Aneurysm Pneumonectomy Lung Volume Reduction Minimally Invasive Cardiac Surgery Upper Lobectomy Surgical Exposure (Weak) Esophageal surgery Middle and lower lobectomy Mediastinal Mass Resection Bilateral Sympathectomies",D
"An 18-year-old woman develops uicaria and wheezing after an injection of intravenous contrast for an abdominal CT scan. Her blood pressure is 120/60 mm Hg, hea rate is 155 beats per minute, and respiratory rate is 30 breaths per minute. Which of the following is the most appropriate immediate therapy?",Intubation,Epinephrine,b-Blockers,Iodine,"This patient is having an anaphylactoid reaction with destabilization of the cardiovascular and respiratory systems. Anaphylactoid reactions are most commonly caused by iodinated contrast media, b-lactam antibiotics (eg, penicillin), and Hymenoptera stings. Manifestations of anaphylactoid reactions include both lethal (bronchospasm, laryngospasm, hypotension, dysrhythmia) and nonlethal (pruritus, uicaria, syncope, weakness, seizure) phenomena. Epinephrine is the initial treatment for laryngeal obstruction and bronchospasm, followed by histamine antagonists (H1 and H2 blockers), amino-phylline, and hydrocoisone. Vasopressors and fluid challenges may be given for shock. Conscious patients are usually stabilized with injected or inhaled epinephrine, while unconscious patients and those with refractory hypotension or hypoxia should be intubated.",B
A 2 year old is scheduled for elective tonsillectomy and adenoidectomy. His mother tells you he has runny nose. Your would want to proceed with the surgery in all of the following situations except.,Child is afebrile,Child is  not actively wheezing,Child is having bilateral bronchial breath sounds,Child is alert and feeding normally,"Presence of an acute purulent upper respiratory infection, fever or signs of lower respiratory tract infection especially in a child is sufficient to postpone the surgery.",C
All of the following are used for intravenous induction except: March 2005,Bupivacaine,Thiopentone,Ketamine,Etomidate,"Ans. A: Bupivacaine Commonly used IV induction agents include: Propofol Sodium thiopental Etomidate Ketamine An inhalational induction may be chosen by the anesthesiologist where IV access is difficult to obtain, where difficulty maintaining the airway is anticipated, or due to patient preference (e.g. children). The most commonly-used agent for inhalational induction is sevoflurane because it causes less irritation than other inhaled gases.",A
"Calcium channel blockers in anaesthesia, True is –",Needs to be decreased as they augment hypotension & muscle relaxation,Withheld because they lower LES pressure,Should be given in normal doses as they prevent MI & angina,All of the above,All antianginal drugs (including calcium channel blockers) should be continued as such and morning dose should be taken with a sip of water.,C
"A 25-year-old male presents for ECT (electroconvulsive shock therapy) at a free-standing facility. He has a life- threatening depressive illness that has not responded adequately to medication, however he is still taking tranylcypramine (Parnate). You should","cancel the procedure, cease the tranylcypramine and perform the ECT in 2 weeks","proceed with the ECT, but induce with midazolam and remifentanil","proceed with the ECT, but pre-treat with esmolol","roceed with the ECT with caution, but with your usual drugs","Concerns regarding MOAI 1. sympathetic hyperreactivity 2. ECT results in vagus stimulus followed by overwhelming sympathetic surge Therefore there is a significant risk of hypeensive crisis with MOAIs in ECT Electroconvulsive therapy in patients taking monoamine oxidase inhibitors. there is no evidence of a dangerous interaction between ECT and MAOI use. In general, a cautious approach would be to discontinue MAOIs before ECT if the medication has not been helpful; however, there is no need for a washout interval before staing ECT. Fuhermore, if there is otherwise a reason for continuing the MAOI, it can be continued during index ECT or initiated during maintenance ECT.",D
Modality best utilized for neuromuscular monitoring during maintenance of anaesthesia is,Train of four,Single twitch,Tetanic stimulation,Post-tetanic stimulation,"Neuromuscular monitoring, also known as a train of four monitoring, is a technique used during recovery from the application of general anaesthesia to objectively determine how well a patient&;s muscles are able to function.",A
Which of the following is not reduced in elderly patient,Functional residual capacity,Arterial oxygen tension,Alveolar oxygen tension,Forced expiratory volume,Functional residual capacity is unchanged in elderly patients. Closing capacity falls progressively with age.,A
"All of the following are absolute contraindications for neuraxial anaesthesia, EXCEPT:",Patient on anticoagulants,Fixed output state,Hypovolaemic shock,Bowel perforation,"In patients on anticoagulants there is a risk of pressure damage to the cord from bleed/hematoma, so neuraxial anaesthesia is absolutely contraindicated. In shock and fixed output states there is effective reduction in circulating volume due to vasodilation, so neuraxial anaesthesia is again absolutely contraindicated. In bowel perforation there is a theoretical risk of increased parasympathetic activity, peristalsis and peritoneal soiling but is only a relative contraindication for all neuraxial anaesthesia. Ref: Oxford Handbook of Clinical Specialities, Edition 8, Page - 635",D
Which local anaesthetic causes vasoconstriction:,Cocaine,Lidocaine,Bupivacaine,Procaine,A i.e. Cocaine,A
Stages of Anaesthesia were established by :,Ether,Nitrous Oxide,Cyclopropane,Chloroform,"Ans. is 'a' Ether Guedel's staging of Anaesthesia was given for EtherStage of Anaesthesia are as follows*Stage I - Analgesia*Stage II - Delirium or excitement*, partially dilated pupilStage III - Stage of Surgical AnaesthesiaIt is divided in 4 stagesMoving eye to fixed eyeCorneal & laryngeal reflex lostLight reflex lostIntercostal paralysis, Abdominal respiration, Pupils widely dilated*Stage IV - Stage of Medullary Paralysis*",A
"A 70 kg old athlete was posted for surgery, Patient was administered succinylcholine due to unavailability of vecuronium. It was administered in intermittent dosing (total 640 mg). During recovery patient was not able to respire spontaneously & move limbs. What is the explanation",Pseudocholinesterase deficiency increasing action of syccinylcholine,Phase 2 blockade produced by succinylcholine,Undiagnosed muscular dystrophy and muscular weakness,Muscular weakness due to fasciculation produced by succinylcholine,"Xenon [Ref: Morgan's Anaesthesia 4/e p 781, 166, 167; Miller's Anaesthesia p 626, 6491 Xenon seems to be the best answer because all other inhalational anaesthetics mentioned in the question produce some cardiovascular effects that may harm the patient with mitral stenosis. Mitral stenosis is a disorder where cardiac output remains relatively fixed. Decrease in cardiac output should he avoided at any cost. - Any drug that increases the hea rate will reduce the cardiac output in patient with M.S. All the inhalational agents mentioned in the question decrease systemic vascular resistance and also increase the hea rate. Decrease in systemic vascular resistance leads to fall in blood pressure. Moreover, they may also decrease B.P. by their cardiodepressant action on myocardium. Therefore these drugs should not be used in patients with M.S. ""Xenon has no effects on cardiac output or cardiac rhythum and is not thought to have significant effect on systemic vascular resistance It also does not affect pulmonary function and is not known to have any renal or hepatic toxicity"". The main drawback of Xenon is its high cost and insufficient availability. -Xenon is an ine gas which is quite difficult to obtain and hence extremely expensive. - Xenon has received considerable interest in the last few years because it has many characteristics approaching those of an ""ideal"" inhaled anaesthetics. Mitral stenosis Due to mitral stenosis less blood .flows through the mitral valve to left ventricle. Left ventricle functions normally but is small and poorly.filled. Initially the left ventricle dilates keeping the pulmonary aery pressure low. As disease progresses pulmonary aery pressure increases and medial hyperophy develops resulting in chronic reactive pulmonary hypeension. The right hea hyperophies to pump against a pressure overload, then.fails. The pressure gradient across the narrow mitral orifice increase with the square of cardial output. Rapid hea rates, especially with atrial fibrillation decreases diastolic .filling time and markedly decreases cardiac output. Li / .filling is optimized by slow hea rate. Hemodynamic goals Low normal hea rate 50-70/min, treat tachycardia aggressively with /8 blockers. Maintain sinus rhythmus if possible. Maintain adequate preload Maintain high normal systemic vascular resistance Avoid hypercarbia, acidosis and hypoxia which may exacerbate pulmonary hypeension. The cardiac output is relatively fixed, maintain adequate afterload, slow the hea rate and avoid hypovolemia. Measure CVP and PAOP and maintain high preload. Avoid rapid decrease in afterload.",C
"A 65 year old man is scheduled for emergency laparoscopic appendectomy. He is a chronic smoker with history of severe COPD, diabetic and hypertensive, on insulin, metformin and antihypertensive medications, not on regular follow up. He also complains of dyspnea on walking more than a few meters. This patient would be assigned",ASA 3E,ASA 3,ASA 4E,ASA 4,"Elderly male patient –poorly controlled diabetic and hypertensive, known smoker with COPD. His co-morbidities are constant threat to life.  And since emergency appendectomy is done, it falls under ASA 4E.",C
Drug causing malignant hyperthermia:(Asked twice in the exam),Cisatracurium,Suxamethonium,Propofol,Thiopentone,"Ans. b. SuxamethoniumSuxamethonium is the drug most commonly responsible for causing malignant hyperthermia.'Drugs causing malignant hyperthermia are- succinylcholine (most common cause), halothane (MC inhalational agent), iso/des/sevo/methoxy- fluranes, lignocaine, TCA, MAO inhibitors and phenothiazines.''Thiopentone and pancuronium are protective drugs for malignant hyperthermia, as these raise the triggering threshold.''In malignant hyperthermia susceptible patients, safe anesthetics are N2O, Non-depolarizing muscle relaxants (atracurium), opiates, tranquilizers, etomidate, barbiturates (thiopentone) and propofol.'Malignant Hyperthermia* Autosomal dominant genetic disorder of skeletal muscle* Occurs in susceptible individuals due to exposure to some triggering agents, typically Suxamethonium or volatile agents, which cause an abnormal increase in intracellular calcium.* It is caused by dysregulation of excitation-contraction coupling in skeletal muscle.Triggering Agents:* Succinylcholine (most common cause)* Halothane (MC inhalational agent)* Halogenated Anesthesia:- Fluranes: Isoflurane, desflurane, sevoflurane. methoxy-flurane- Ether- Cyclopropane* Lignocaine* TCA* MAO inhibitors* PhenothiazinesClinical Features:* Rise in end tidal CO2 (1st sign)* Masseter muscle rigidity (MMR) and tachycardia are earliest sign* Hypermetabolic features, metabolic acidosis, fever, hyperthermia* Sympathetic over activity: Tachycardia, arrhythmia, unstable BP. initial hypertension* Muscle damage: Masseter muscle spasm, generalized rigidity, hyperkalemiaTretment:* Triggering agent must be stopped and hyperventilate with 100% oxygen* The mainstay of therapy is immediate administration of IV dantrolene.* Dantrolene is the only drug effective in reversing the symptoms and preventing the episode.",B
Lowest concentration of anaesthetic agent in alveoli needed to produce immobility in response to painful stimulus in 50% of individual is termed as –,Minimum alveolar concentration,Minimal analgesic concentration,Minimal anaesthetic concentration,Maximum alveolar concentration,MAC is the lowest concentration of the anaesthetic in pulmonary alveoli needed to produce immobility in response to a painful stimulus (surgical incision) in 50% individuals.,A
Which of the following mixture of anesthetics is applied on skin?,Lidocaine and prilocaine,Bupivacaine and prilocaine,Lidocaine and bupivacaine,Lidocaine and procaine,"Ans is 'a' i.e. Lidocaine and prilocaine Eutectic mixture of local Anaesthetics (EMLA)* This is unique topical preparation which can anaesthetize intact skin.* It is a mixture of 2.5% lidocaine and 2.5% prilocaine.* It acts slowly and the cream must held in contact with skin for at least 1 hour.* EMLA is used : to make venepuncture painless especially in children, and for procedure like skin grafting & circumcision.* As systemic absorption of prilocaine can cause methemoglobinemia, EMLA should not be used on mucocutaneous membrane or in very small child.",A
Exception of Meyer oveon rule are A/E,Nonanaesthetics,Nonimmobilizer,Cut off effect,Hydrophobic site,"D i.e. Hydrophobic site Non anesthetics/ nonimmobilizers, cut off effect convulsant gases, isomers, hydrophilic site and critical volume expanism hypothesis provide exceptions to the meyer - oveon ruleQ.",D
Lignocaine in high dose produces,Convulsion,Respiratory depression,Hypotension,All,"A i.e. Convulsion; B i.e. Respiratory depression; C i.e. Hypotension Xylocaine is available in concentration of 5% (for subarachnoid-spinal anesthesia), 4% (topical) and .2% (2, 1.5, 1 and 0.5%) of which 0.5% is usually used for epidural. If it is asked that what is the max dose of Xylocaine with adrenaline the answer will be same i.e. 500 mgQ and ans. will be 300 mgQ when max dose of lignocaine without adrenaline is asked. Lidocaine is an amide and can l/t convulsions, bronchospasm, respiratory failure, depress hypoxia drive, and can cause apnea, bradycardia, hypotension & cardiac failureQ.",D
Inhalational agent with lowest blood gas coefficient is:,Isoflurane,NO,Xenon,Enflurane,"Ans: (c) XenonRef. Stoelting's Pharmacology and Physiology in Anesthetic Practice, 4th edition 4.Blood gas partition coefficient (BG coefficient): It is ratio of solubility of a gas (inhalational agent) in blood and in the air (alveolar air)""Low the BG coefficient = Lesser the solubility of gas in blood = Rapid onset of action""BG coefficient can be affected by:Serum lipid contentSerum protein contentHematocritAgeInhalational agentsBG coeficientVapour pressure (mm Hg)Boiling point (degree Celsius)Xenon0.115--Desflurane0.4267323.5Nitrous oxide0.465200-88Sevoflurane0.6916258.5Isoflurane1.4623848.5Enflurane1.9017456.5Halothane2.5424350Chloroform816060Trilene96087Ether1242536Methoxyflurane1323103",C
"The administration of succinylocholine to a paraplegic patient led to the appearance of dysarrhythmias, conduction abnormalities and finally cardiac arrest. The most likely cause is:",Hypercalcemia,Hyperkalemia,Anaphylaxis,Hypermagnesemia,"Ans. is 'b' i.e. Hyperkalemia It has been repeated several times before that succinylcholine causes hyperkalemia in paraplegic patients. This hyperkalemia is responsible for cardiac complications such as dysrhythmias, conduction abnormalities and cardiac arrest.On page 347 Lee states""Suxamethonium may be dangerous in the period h/w about 3 days and 6 months or perhaps longer after onset of paraplegia. It releases more potassium than usual from muscles and the extreme hyperkalemia can cause arrhythmias or cardiac arrest.""",B
Which of the following drug causes pain on injection:-,Rocuronium,Vacuronium,Rapocuronium,Atracurium,"Rocuronium causes pain on injection, like propofol. Unlike propofol however it is given after patient is induced. Pain associated with injection of rocuronium is commonand can be very distressing. Tracheal intubation with rocuronium using the 'timing principle'. the described pain is a 'burning' in nature and occurred immediately on administration. We do not know the exact mechanism for the pain, although the immediate onset rapid precurarization technique using rocuronium probably reflects a direct irritant effect and not an indirect effect on the kinin cascade.",A
The most appropriate circuit for ventilating a spontaneously breathing infant during anaesthesia is?,jackson Rees modification of Ayre's T piece,Mapleson A or Magill's circuit,Mapleson C or Waters to and fro canister,Bains circuit,"Ans. is 'a' i.e., Jackson Rees modification",A
