Question,A,B,C,D,Explanation,Answer
Liver biopsy in malaria will show -,Microabscesses,Kupffer cell hyperplasia,Piecemeal necrosis,Non caseating granuloma,"Answer-B. Kupffer cell hyperplasiaMicroscopic findings of liver in malaria-The kupffer's cells are increased in number and their cytoplasms are filled with malarial pigment (haematin) and parasitised erythrocytes.The parenchyma cells ofthe liver lying in the central zone show fatty degeneration, atrophy and necrosis.Fibrous tissue is not increased to any great extent.",B
"Vasoactive amine, involved in inflammation is -",dopamine,adrenaline,Angiotensin,Histamine,"Two molecules, histamine and serotonin are the vasoactive amines produced by mast cells, which mediate acute inflammation. Dopamine is a neurotransmitter Adrenaline is is adrenal medulla hormone Angiotensin Is a peptide hormone causing vasoconstriction ..but doesn't paicipate in inflammation Basic Pathology, Robbins. Page no.:46",D
Leukotriene receptor antagonist used for bronchial asthama is,Zafirlukast,Zileuton,Cromolyn Sodium,Aminophylline,Examples for leukotriene receptor antagonist are Montelukast and Zafirlukast ESSENTIALS OF MEDICAL PHARMACOLOGY 8TH EDITON Page No :222,A
"A one year old boy presented with hepatosplenomegaly and delayed milestones. The liver biopsy and bone marrow biopsy revealed presence of histiocytes with PAS-positive Diastase-resistant material in the
cytoplasm. Electron-microscopic examination of these histiocytes is most likely to reveal the presence of",Birbeck’s granules in the cytoplasm,Parallel rays of tubular structures in lysosomes,Myelin figures in the cytoplasm,Electron dense deposit in the mitochondria,"PAS stain is a widely used stain which gives positive reaction with glycogen (primarily) and non glycogen substances like glycoprotein, glycolipids, proteoglycans and neutral mucins.
Whether the PAS positivity of a particular cell is due to presence of glycogen or due to latter can be differentiated with diastase (glycogen digesting enzyme).
If the cell is PAS positive due to glycogen, the pretreatment with diastase will make it PAS negative. But if the cell is PAS positive due to non glycogen substances, the cell will retain its PAS positivity even after pretreatment with diastase. So, in the given question, the presence of PAS positive and diastase resistant material indicates presence of non glycogen substances.
The clinical feature of delayed milestones and hepatosplenomegaly in 1 year old boy is suggestive of some lysosomal storage disorder (like Niemann Picks disease).
This disease is characterized by the presence of large foam cells in bone marrow, liver and spleen. There is presence of pleomorphic inclusion of lipids in lysosomes enclosed in concentric or parallel lamellae.",B
"A 30-year-old woman complains of recent easy fatigability, bruising, and recurrent throat infections. Physical examination reveals numerous petechiae over her body and mouth. Abnormal laboratory findings include hemoglobin of 6 g/dL, WBC of 1,500/mL, and platelets of 20,000/mL. The bone marrow is hypocellular and displays increased fat. What is the appropriate diagnosis?",Aplastic anemia,Iron-deficiency anemia,Megaloblastic anemia,Leukemia,- Given features suggests the diagnosis of Aplastic anemia - Aplastic anemia is a disorder of pluripotent stem cells causing bone marrow failure resulting in hypocellular bone marrow & pancytopenia - Most cases are idiopathic. - Iron-deficiency anemia (choice B) and megaloblastic anemia (choice C) are not characterized by a hypoplastic bone marrow.,A
Which of the following is not included under diagnostic criteria for NF - 1?,Optic glioma,Cafe - au - lait macules,periungual fibroma,Sphenoid dysplasia,Periungal fibroma is not included under diagnostic criteria for NF - 1.,B
Most common site of glioblastoma multiforme is-,CP angle,Frontal lobe,Brainstem,Occipital lobe,"Ans. 'b' i.e., Frontal lobe A glioblastoma multiforme (GBM) is a type of brain tumour called an astrocytoma. Astrocytomas are some of the most common brain tumours. They develop from the highly vascular and quickly reproducing astrocyte cells in our brain and are often malignant.",B
Which is the most specific tumor marker for melanoma:,Tyrosinase,Vimentin,S-100,HMB-45,HMB-45 is the most specific tumor marker for melanoma. S-100 is most sensitive.,D
HPV associated with Laryngeal Papilloma are?,13 & 32,16 & 18,6 8c 11,16 8c 32,"ANSWER: (C) 6 & 11REF: Robbins 7th edition page 324See APPENDIX-31 below for 'HUMAN PAPILLOMA VIRUS' APPENDIX - 31Human Papilloma Virus:DiseaseHPV TypeCommon warts2, 7Plantar warts1, 2, 4, 63Flat warts3,10Anogenital warts6,11, 42, 44 and others(types 6 and 11 account for about 90% of all cases)Genital cancersHighest risk: 16,18, 31, 45 HPV types (16 and 18 cause 70% of cervical cancer)Other high-risk: 33, 35, 39, 51, 52, 56, 58, 59 Probably high-risk: 26, 53, 66, 68, 73, 82Epidermodysplasia verruciformisHPV types 5 and 8Heck's disease- Focal epithelial hyperplasia (oral)13, 32Oral papillomas6, 7,11,16, 32HPV-positive Oropharyngeal cancer16Laryngeal papillomatosis6,11",C
All of the following induce liver microsomal enzymes except?,Metyrapone,Glutethimide,Carbamazepine,Phenobarbitone,"Ans. is 'a' i.e., Metyrapone Drug metabolizing enzymes The drug metabolizing enzymes are divided into two types : Microsomal These are located on smooth endoplasmic reticulum primarily in liver, also in kidney, intestinal mucosa and lungs. Examples are monooxygenase, cytochrome P450, glucronyl transferase. They catalyze most of the oxidation, reduction, hydrolysis and glucuronide conjugation. They are inducible by drugs, diet and other agencies. Non microsomal These are present in the cytoplasm and mitochondria of hepatic cells as well as in other tissues including plasma. Examples are flavoprotein oxidase, esterases, amidases and conjugases. They catalyze some oxidation and reduction, many hydrolysis and all conjugation except glucuronidation. They are not inducible but many show genetic polymorphism (acetyl transferase, pseudocholinesterase). Drugs that induce microsomal enzymes Phenobarbitone Rifampin Isoniazid Phenylbutazone DDT Carbamezepine Clofibrate Ritonavir Chronic alcohol intake Cyclophosphamide Phenytoin Glucocoicoids Chloral hydrate Griseofulvin Omeprazole Meprobamate Glutethimide Cigarette smoking Remember All Barbiturates are enzyme inducers except secobarbital, which inhibits the enzyme. Acutely, ritonavir is an inhibitor. while with chronic (repeated) administration it acts as an inducer.",A
"Acute graft-versus-host-disease (GVHD) commonly involves all of the following organs, except:",Brain,Skin,Liver,Small & large intestines,"Graft-versus-host disease (GVHD) Occurs when immunologically competent cells or their precursors are transplanted into immunologically compromised recipients, and the transferred cells recognize alloantigens in the host and attack host tissues Most commonly seen in the setting of HSC transplantation Acute GVHD occurs within days to weeks after allogeneic HSC transplantation. Major clinical manifestations result from involvement of the immune system and epithelia of the skin, liver, and intestines. Generalised skin rash Destruction of small bile ducts gives rise to jaundice Mucosal ulceration of the gut gives rise to diarrhea",A
Which drug used in bronchial asthma needs monitoring-,Theophylline,Cromoglycate,Salmeterol,Terbutaline,"Ans. is 'a' i.e., Theophylline o Theophylline has low safety margin and therefore requires therepeutic drug monitoring.",A
Which of the following aminoglycoside antibiotic has the highest risk of causing Ototoxicity,Kanamycin,Amikacin,Neomycin,Natamycin,"Ototoxicity is the irreversible side effect of aminorglycosider.
Auditory toxicity: Kanamycin > Amikasin > Neomycin
Vestibular toxicity: Streptomycin.

KAN → Ear.",A
Best preparation of insulin for IV injection is:(1995),Lente,Semi lente,Regular insulin,Humulin,"cRef: KDT, 5th ed, p. 243, 240 & 4th ed, p. 271-269",C
A patient was given radiotherapy for head and neck cancer. After 6 months chemotherapy was staed. The patient presented with the features shown in Figure after sta of chemotherapy. It is likely due to which drug?,Doxorubicin,Cisplatin,Imatinib,Methotrexate,The history and the figure shows the characteristic 'Radiation recall syndrome'. It is caused by Doxorubicin (Anthracyclines).,A
All of following inhibit peripheral conversion of T4 and T3 except -,Propylthiouracil,Methimazole,Proparanolal,Amiodarone,"Ans is 'b' i.e. Methimazole o Propylthiouracil, propranolal, amiodarone and glucocoicoids inhibit peripheral conversion of T4 and T3.",B
Which of the following doesn't worsen angina,>Sumatriptan,>Oxyfedrine,>Dipyrickuriole,>Thyroxine,"Oxyfedrine Drugs that exacerbate angina : Alpha blocker Beta blockers withdrawl Ergotamine Excessive thyroxine Hydralazine Methysergide Minoxidil Nifedipine Oxytocin Sumatriptin' Vasopressin Dipyridamole - Dipyridamole is a vasodilator. It was originally developed as an antianginal agent. But it tends to worsen angina due to 'coronary steal' phenomenon. Oxyfedrine - Oxyfedrine was found to depress the tonicity of coronary vessels, increase the coronary circulation volume, the oxygen uptake by the hea and also to exe a positive inotropic and chronotropic action. - It does not precipitate angina. - In fact it is used as an antianginal drug.",B
A neonate develops spastic contractions on the second postpaum day. Laboratory studies show hypocalcemia. MRI studies demonstrate aplasia of the thymus and parathyroid glands. What is the appropriate diagnosis?,Adenosine deaminase deficiency,Common variable immunodeficiency,DiGeorge syndrome,Transient hypogammaglobulinemia of infancy,"DiGeorge syndrome Chromosomal defect (22q11 deletion) that results in developmental anomalies of the branchial (pharyngeal) pouches and organs that develop from these embryonic structures (thymus, parathyroids, and aoic arch). These children present with tetany (caused by hypoparathyroidism) and deficiency of cellular immunity. They also have characteristic facial features ('angry look'). In the absence of a thymus, T-cell maturation is interrupted at the pre-T stage. DiGeorge syndrome has been corrected by transplanting thymic tissue. Diagnosis: DiGeorge syndrome",C
Good-pasture syndrome is not characterized by ?,Anti GBM,Crescents,Pulmonary hemorrhage,Diffuse alveolar damage,"Ans. is 'd' i.e., Diffuse alveolar damage There is focal necrosis (not diffuse) of alveolar walls.",D
"In Equivalent concentrations, steroids are more potent in which form?",Gel,Cream,Ointment,Lotion,"Ointment preperation are more potent due to their occlusive propeies. It provide better barrier protection and emollient action. It is more potent than cream, gel or lotion form. Ref: Clinical Pharmacy By Jeff Hughes, William Hughes, Page 114; Primary Care for Women By Phyllis Carolyn Leppe, Jeffrey F. Peipe, Page 846.",C
"A 26-year-old woman with a 6-month history of depression accompanied by active suicidal ideation ingests 35 g of acetaminophen. She quickly experiences nausea and vomiting. Within 1 day, she becomes progressively obtunded. On physical examination, her temperature is 36.9deg C, pulse is 75/min, respirations are 15/min, and blood pressure is 100/65 mm Hg. She is treated with N-acetylcysteine. Depletion of which of the following is most likely to accentuate her organ damage?",Glutathione (GSH),Amylase,Creatine kinase,Ketone bodies,"Acetaminophen toxicity leads to hepatic necrosis, indicated by rising ALT and AST levels. If death is not immediate, hyperbilirubinemia also can be seen. N-Acetylcysteine augments glutathione by contributing a sulfhydryl group for binding to toxic metabolites. Elevated serum amylase is seen in pancreatitis. Elevated serum creatine kinase is seen with injury to skeletal and cardiac muscle. Ketonuria is a feature of absolute insulin deficiency in diabetes mellitus; it also is a feature of starvation. Hypokalemia can be a feature of renal diseases and glucocorticoid deficiency.",A
Shape of birbeck granules is ?,Tennis racket,Hockey stick,Bat,Ball,"Ans. is 'a' i.e., Tennis racket Under the electron microscope, Birbeck granules have a pentalaminar, rodlike, tubular appearance and sometimes a dilated terminal end resembling tennis-racket appearance.",A
"Approximate time, at the end of which the quantity, of ATP within ischemic cardiac myocytes is reduced to 10% of original is",<2 minutes,10 minutes,20 minutes,40 minutes,ATP decreases to 10% of its intial level in 40 min Robbins 9 th edition page no. 380,D
Renal papillary necrosis is caused by?,NSAID,Cocaine,Heroin,Morphine,"Ans. (a) NSAIDRef Harrisonys Internal Medicine 18/e, Table 285-3, Radiology Illustrated, Uroladiology: Uroradiology by SeungHyup Ki 2/e, p 471",A
"According to FAB classification, the minimum blast cells for diagnosis of AML are",20,30,10,40,(30): (362- Harsh mohan 6th edition)* According to revised FAB classification system a leukaemia is acute if the bone marrow consist of more than 30% blasts* WHO classification for AML has revised and lowered the cut of percentage of marrow blasts to 20% from 30% in the FAB classification for making the diagnosis of AML,B
A 67 year male smoker presents with haemoptysis and cough. Bronchoscopic biopsy revealed undifferentiated tumour. The immunohistochemical marker that can be most helpful is-,Calretinin,Vimentin,Cytokeratin,GGt,"Ans is 'c' i.e., Cytokeratin o Mass in bronchus in a old chronic smoker suggest bronchogenic carcinoma. The marker of carcinoma, on immunohistochemistry, is cytokeratin.",C
"If a thiazide diuretic is administered for hypertension, the response seen within 24 hrs on excretion of different electrolytes is :",↑Na+ ↑K+ ↑Ca++,↑Na+ ↓K+ ↑Ca++,↑Na+ ↑K+ ↓Ca++,↑Na+ ↓K+ ↑Ca++,"The following table taken from Goodman and Gilman clearly explains the answer:
Excretory and Renal Hemodynamic Effects of Diuretics.",C
Not characteristic feature of granuloma ?,Chronic inflammatory infiltrate,Epitheloid cell,Giant cell,PMN's with fibrinoid necrosis with cellular infiltrates,"Ans. is 'd' i.e., PMN's with fibrinoid necrosis with cellular infiltrates Polymorphonuclear leucocytes or neutrophils have a major role in acute inflammatory response. They are typically seen in acute inflammation. While granuloma formation is seen during chronic inflammatory response. The cells predominating during chronic inflammatory response are lymphocytes, plasma cells, monocytes etc. PMN's or neutrophils are typically absent during chronic inflammation. Granuloma contains Activated macrophages, i.e., epitheloid cells. Monocytes Lymphocytes Plasma cells Giant cells There are two types of giant cells 1. Langhans Giant cells Contains 3-5 nuclei Nuclei arranged peripherally (horse shoe) in the cytoplasm. 2. Foreign body cells Contains 3-5 nuclei Nuclei are arranged haphazardly in the cytoplasm. Langhans cells are the precursors of foreign body giant cells, as the numbers of nuclei increase langhans cells are conveed to foreign body giant cells So in early stage Langhans giant cells are predominant, while later on foreign body giant cells predominate. Foreign body giant cells can be arise directly from the fusion of macrophages also. So, Foreign body giant cells arise from ? 1. Langhans giant cells 2. Fusion of macrophages.",D
Which of the following sympathetic receptors acts as vasoconstriction and vasodilatation:,Alpha 1 and Alpha 2,Alpha 1 and Beta 1,Alpha 1 and Beta 2,Beta 1 and Beta 2,"(Ref: Katzung 14th ed. pg. 145-47)Alpha 1 and Beta 2 receptors present at blood vessels causing vasoconstriction and vasodilatation respectively.Sympathetic receptors, their location, function and G protein.ReceptorLocationFunctionG-Proteina1BV, smooth muscle, Salivary glandsVasoconstriction Increase secretionGqa2Presynapse Beta pancreatic cellBrake/Inhibit NA releaseDecrease insulin releaseGib1Heart JG cellInc Heart rate Renin releaseGsb2LungsSmooth muscle LiverBronchodilatation Relaxation of smooth muscles GlycogenolysisGsb3Adipocyte Detrusor muscleLipolysis, thermogenesis Bladder relaxGs",C
Digoxin induced arrhythmias are treated by all the following except,Lidocaine,Phenytoin,Atropine,Quinidine,"Quinidine is contraindicated with digoxin as quinidine has high protein binding capacity so replace digoxin from protein binding sites. Lidocaine, phenytoin are used for ventricular arrhythmias caused by digoxin, atropine is used if there is bradycardia due to digoxin.Ref: HL Sharma 3rd ed.Pg 324",D
In malignant hyperthermia the increased heat production is due to :,Increased muscle metabolism by excess of calcium ions,Thermic effect of food,Increased sympathetic discharge,Mitochondrial thermogenesis,Ans. is 'a' i.e. increased muscle metabolism by excess of calcium ionsRef Harrison 16th/e p 105 (15th/e page 92)Malignant hyperthermiais caused by inherited abnormality in sarcoplasmic reticulum of skeletal muscleDue to this there is rapid increase in intracellular calcium levels in response to certain drugs.This leads toIncreased muscle metabolismElevated temperatureRhabdomyolysisRigidityAcidosisCardiovascular instabilityIt is often fatalDrugs which cause malignant hyperthermia areHalothane*Succinyl choline*Phenothiazines Haloperidol*,A
Which does not cause microvesicular steatosis,Alcoholic fatty liver,Tetracycline toxicity,Acute fatty liver of pregnancy,Reyes syndrome,micro vescicular steatosis is a accumulation of small clear vacuoles of lipids within the cytoplasm of hepatocyte .it is seen in alcoholic fatty liver GENERAL AND SYSTEMIC PATHOLOGY RAMDAS NAYAK PGNO.449,A
macrophage in the brain is,Schwann cells,Oligodendrocytes,Astrocytes,Microglia,Answer is option 4 Microglia are considered the resident macrophages of the brain given that they are the only myeloid cells present in the CNS parenchyma. Microglia perform both homeostatic and immune-related functions and constitute about 5-20% of all cells in the CNS. Ref of img :,D
"Interleukin secreted by macrophages, stimulating lymphocytes is:",IL-1,INF alpha,TNF alpha,IL-6,"Macrophages release IL-1 which stimulates the T-helper cells.
The T-cells in response proliferate and release IL-2 which in turn stimulates still further T-cell proliferation and B cell proliferation and differentiation into plasma cells.

Thus

Macrophages release→IL-1*
T-helper cells release→ IL-2*",A
Drug treatment for tardive dyskinesia is,Valbenazine,Ropinirole,Tetrabenazine,Biperiden,Tardive dyskinesia is late symptom which appears on treatment with typical antipsychotic like haloperidol. It occurs due to D2 receptor supersensitivity. Treatment of choice is valbenazine - Ropinirole is used for Restless leg syndrome - Tetrabenazine is drug used in Huntington's chorea - Biperidin is used in drug induced Parkinsonism.,A
Vasopressin decreases the volume of urine primarily by causing:,Decrease in glomerular filtration rate,Decrease in renal blood flow,Decrease in water permeability of descending limb of loop of Henle,Increase in water permeability of collecting duct cells,"In the absence of ADH, collecting ducts are impermeable to water. ADH increases the exocytosis and decreases the endocytosis of water channels (aquaporins) in the collecting duct cells. This results in increase in permeability of collecting ducts to water.",D
Confirmatory test for the diagnosis of Amyloidosis-,Diagnostic peritoneal lavage,Tongue biopsy,Rectal biopsy,Whole body CT scan,"Biopsy and subsequent Congo red staining is the most impoant tool in the diagnosis of amyloidosis. In general, biopsy is taken from the organ suspected to be involved. For example, renal biopsy is useful in the presence of urinary abnormalities. Rectal and gingival biopsy specimens contain amyloid in as many as 75% of cases with generalized amyloidosis Robbins page no. 172",C
True about Fragile X syndrome:,Chromosomal breaking,Mitochondrial mutation,Triplet nucleotide repeat sequence,Centrochrome absent,"Fragile X syndrome is the prototype of the disease in which the mutation is characterized by a long repeating sequences of three nucleotides -
'Fragile sites are a region of the chromosome that show a tendency for separation, breakage or attenuation under particular growth conditions. One fragile site (of a total of 120 in the human genome) that has clinical significance is that on the distal long arm of chromosome Xql 7.3 associated with fragile syndrome'-
Nelson 18th/515
Fragile X Syndrome - Second most common genetic causes of mental retardation, after Down syndrome
The only distinctive feature that can be detected in at least 90% of postpubertal males with fragile -X Syndrome is macroorchidism
 Long face with a large mandible & large everted ears
 Hyperextensible joints, a high arched palate & mitral valve prolapsed is noted in some patients As with all X-linked disease fragile X syndrome affects males",C
"A middle-aged woman presents to her physician with fatigue, pruritus, and steatorrhea. Fuher studies demonstrate sclerosing cholangitis and the presence of antimitochondrial antibodies. This patient, if left untreated, is also at increased risk of developing which of the following?",Markedly decreased PaO2,Markedly decreased serum uric acid,Markedly increased serum cholesterol,Markedly increased serum pyruvic acid,"The patient's disease is primary biliary cirrhosis, which is an autoimmune disease characterized by sclerosing cholangitis and cholangitis. The most helpful clue in the question stem is the antimitochondrial antibody, which is present in over 90% of the patients. The course is usually slowly progressive over 5-25 years. Patients are sometimes diagnosed when routine blood tests demonstrate an elevated alkaline phosphatase. In addition to the features listed in the question, patients with advanced disease tend to develop profound hypercholesterolemia and xanthomas. Ref: Wyatt C., Butterwoh IV J.F., Moos P.J., Mackey D.C., Brown T.G. (2008). Chapter 15. Pathology of the Liver, Gallbladder, and Pancreas. In C. Wyatt, J.F. Butterwoh IV, P.J. Moos, D.C. Mackey, T.G. Brown (Eds), Pathology: The Big Picture.",C
An embolus which passes through an arteriovenous communication and enters the systemic circulation is called?,Paradoxical embolus,Retrograde embolus,Saddle embolus,Atheroembolus,"Rarely, an embolus passes through an atrial or ventricular defect and enters the systemic circulation called paradoxical embolism.
Pulmonary Embolus can occlude the main pulmonary artery, lodge at the bifurcation of the right and left pulmonary arteries called saddle embolus.
Robin’s Textbook of pathology 10th ed Page 112",A
A 4-year-old girl presents with swelling of the legs and ankles. Physical examination reveals pitting edema of the lower extremities. Urinalysis show 2+ proteinuria. The urinary sediment contains no inflammatory cells or red blood cells. Serum levels of BUN and creatinine are normal. The patient recovers completely after a course of corticosteroids. Which of the following pathologic findings might be expected in the urine prior to treatment with corticosteroids?,Amyloid casts,Eosinophils,Lipid droplets,Red blood cell casts,"The loss of protein in the urine in patients with nephrotic syndrome leads to hypoalbuminemia. A compensatory increase in lipoprotein secretion by the liver results in hyperlipidemia, which is reflected in the presence of lipid droplets in the urine. For this reason, minimal change disease is also referred to as lipoid nephrosis. Eosinophils (choice B) may be observed in allergic nephritis. White blood cell casts (choice E) are features of pyelonephritis.Diagnosis: Minimal change nephrotic syndrome",C
True regarding morphological feature of peptic ulcer is: March 2008,Usually multiple,More common in the stomach,"Round to oval, sharply punched out defect",Size and location helps to differentiate between benign and malignant ulcer,"Ans. C: Round to oval, sharply punched out defect Peptic ulcer are four times more common in the proximal duodenum than in the stomach. Peptic ulcers are solitary in more than 80% of the patients. Peptic ulcers are sharply punched out with straight walls and a flat base which is smooth. The adjoining mucosa is flat and the rugal folds extend to the margin of the ulcer and some reddening of the adjoining mucosa may indicate an associated gastritis. The gastric mucosa is often flattened due to the presence of chronic gastritis with atrophy. Acute ulcers may show edema and chronic ulcers show varying degrees of underlying fibrosis. The depth of the ulcer is variable with some showing only mucosal involvement in which case they are called erosions in contrast to deeply penetrating ulcers which involve submucosa and deeper layers. Occasionally evidence of active bleeding may be seen, and deep ulcers may perforate. Benign gastric ulcers are most commonly found along the lesser curvature near the interface of the body and antrum. Size and location of the ulcer do not differentiate benign and malignant ulcers. However the gross appearance of chronic peptic ulcer is viually diagnostic. Malignant transformation of the peptic ulcer is very rare.",C
Drug of choice for pregnancy induced hypertension is:,Methyl dopa,Atenolol,Nitroprusside,Enalapril,"Ans. (A) Methyl dopa(Ref: Goodman Gilman 12th/e p773, 774; Katzung 12th/e p176)Alpha methyl dopa is drug of choice for pregnancy induced hypertension. However, these days labetalol is preferred for this indication.",A
The drug of choice for acute left ventricular failure?,IV furosemide,IV Aminophylline,IV digitalization,Rapid digitalization,"Ans. is 'a' i.e., IV furosemide o A loop diuretics, e.g. furosemide is the mainstay of therapy.",A
Most common carcinoma is associated with IVC metastasis,Small cell carcinoma lung,Gastric adenocarcinoma,Renal cell carcinoma,Papillary carcinoma thyroid,"Ans is 'c' i.e. Renal cell carcinoma The one of the striking characteristics of RCC is to invade renal vein and metastasize into IVC.Through bloodRenal cell carcinomaPheochromocytomaAdrenocoical carcinomaUterine sarcomas (Lemmyomatosis, endometrial stromal cell sarcoma)Germ cell tumors (embryonal, teratocarcinoma)Direct invasionRetroperitonel soft tissue tumors (hposarcoma, leipmyosarcoma, malignant fibrous histiosarcoma )Hepatic tumors (cholangiocarcinoma, HCC)Pancreaticodudenal tumor.",C
Biphasic reaction on blood pressure is seen With the administration of:,Adrenaline,Nor adrenaline,Dopamine,Dopamine,"A moderate dose of adrenaline given by I.V produces a rapid increase in BP followed by a fall - a biphasic response. The systolic rises due to alpha 1 mediated vasoconstriction and beta 1 mediated increase in hea rate, the force of contraction and thereby cardiac output. Action on beta receptors is more persistent and as the action on alpha receptor wears off the action of beta 2 receptors gets unmasked resulting in decreased BP due to a fall in diastolic. From medical pharmacology Padmaja 4th edition page no 94,95",A
All of the following cause inhibition of CYP3A except:,Saquinavir,Ritonavir,Itraconazole,Erythromycin,"Five protease inhibitors-Indinavir (IDV), Nelfinavir (NFV), Saquinavir (SQV), Ritonavir (V) and Lopinavir. This protease acts at a late step in HIV replication, i.e. maturation of the new virus paicles when the RNA genome acquires the core proteins and enzymes,They bind to the protease molecule, interfere with its cleaving function, and are more effective viral inhibitors than AZT. Because they act at a late step of viral cycle, they are effective in both newly and chronically infected cells. Under their influence, HIV-infected cells produce immature noninfectious viral progeny-hence prevent fuher rounds of infection. Ritonavir:It is a potent PI; also a potent CYP3A4 inhibitor. Saquinavir :Two types of formulations (hard gel and soft gel capsules) with differing, but low oral bioavailability have been produced. The tablet load is large and side effects are frequent; photosensitivity can occur. It is a weak inhibitor of CYP3A4. ltraconazole: This newer orally active triazole antifungal has a broader spectrum of activity than KTZ or fluconazole;It is largely metabolized in liver by CYP3A4; an active metabolite is produced which is excreted in faeces ESSENTIALS OF MEDICAL PHARMACOLOGY K.D.TRIPATHI SIXTH EDITION PAGE NO:764,773",A
"A 16-year-old girl comes to the hospital with chest pain and respiratory distress. On physical examination, the patient is sho of breath, wheezing and gasping for air. A prominent pansystolic hea murmur and a prominent third hea sound are heard on cardiac auscultation. An X-ray study of the chest shows marked enlargement of the hea. The patient expires despite intense suppoive measures. At autopsy, microscopic examination of the myocardium discloses aggregates of mononuclear cells arranged around centrally located deposits of eosinophilic collagen. What is the appropriate diagnosis?",Acute bacterial endocarditis,Rheumatic hea disease,Subacute bacterial endocarditis,Viral myocarditis,"Focal inflammatory lesions are found in various tissues in patients with acute rheumatic fever. These inflammatory lesions are most distinctive within the hea, where they are termed 'Aschoff bodies.' They consist of foci of eosinophilic material surrounded by T lymphocytes, occasional plasma cells and plump macrophages called 'Anitschkow cells.' These distinctive cells have abundant cytoplasm and central round-to-ovoid nuclei, in which the chromatin is disposed in a central, slender, wavy ribbon(caterpillar cells). These lesions are pathognomonic for rheumatic fever and are not encountered in the other choices. Aschoff nodule",B
Which is an example of small vessel vasculitis?,Takayasu arteritis,Kawasaki disease,PAN,Churg strauss syndrome,"Ans. is 'd' i.e., Churg strauss syndrome a) Large vessel vasculitis: Giant cell arteritis (temporal arteritis), Takayasu arteritis, Cogan syndrome.b) Medium vessel vasculitis: PAN (classical PAN), kawasaki disease, Buerger's disease.c) Small vessel vasculitis ; HSP, Wegner's granulomatosis, microscopic polyangitis, churg strauss syndrome, Cryoglobulinemia, SLE, idiopathic crescentic glomerulonephritis, Bechet's syndrome, renal limited vasculitis",D
Which of the following is / are autoimmune disease:,Sjogren's syndrome.,Mikulicz's disease.,Rheumatoid arthritis.,All of the above.,Rheumatoid arthritis is reported in about 15 percent cases of Sjogren’s syndrome.,D
What does the plasma concentration versus time graph indicates -,Half life,Clearance,Elimination,Bioavailability,"Ans. is 'd' i.e., Bioavailability o The extent of systemic bio availability is ordinarily calculated by relating the area under plasma concentrationtime curve after a single oral dose to that obtained after iv administration of the same amount (by which route a drug is 100% available).",D
Which of the following is a feature of nonselective Cox inhibitor but not of selective Cox 2 inhibitor?,Analgesic effect,Antiplatelet aggregatory,Renal salt/ water retention,Prolongation of labour,"Ans. is'b'i.e., Antiplatelet aggregatory(Ref: KDT 7th /e p. 194)",B
In which cause of jaundice there is no bilirubin excretion in urine -,Obstructive jaundice,Primary billiary cirrhosis,Extrahepatic billiary atresia,Hemolytic jaundice,Answer- D. Hemolytic jaundiceAll other options lead to conjugated hyperbilirubinemia. Conjugated bilirubin is water soluble and only loosel y bound to albumin and thus is easily filtered by glomeruli and excreted in urine.,D
Drug of choice for ventricular arrhythmias induced by bupivacaine,Bretylium tosylate,Lignocaine,Nifedipine,Verapamil,Bupivacaine has got high cardiotoxic potential. Treatment for ventricular arrhythmia produced by bupivacaine is bretylium.,A
Low doses of aspirin prolong bleeding time by selec tively inhibiting synthesis of the following mediator in the platelets,Thromboxane A2,5-Hydroxytryptamine,Platelet activating factor,Prostacyclin,"Antiplatelet aggregation:- Mech of action:- Aspirin inhibits COX irreversibly and thus inhibits synthesis of PGs. NSAIDs inhibit synthesis of both proaggregatory (TXA2- synthesized in platelets) and anti- aggregatory (PGI2- synthesized by endothelium) prostanoids, but effect on platelet TXA2 predominates . At therapeutic doses most NSAIDs inhibit platelet aggregation, bleeding time is prolonged. Therefore aspirin exes anti- thrombotic effect for several days. Risk of surgical and anticoagulant associated bleeding is enhanced. These drugs should be stopped a week before any elective major surgeries to reduce the risk of bleeding. Ref:- kd tripathi; pg num:-194",A
Potassium supplementation often is necessary for patients taking which drug?,Spironolactone,Triamterene,Furosemide,Amiloride,"Spironolactone is a competitive antagonist of aldosterone and therefore, may cause hyperkalemia if administered concomitantly with potassium supplements. Likewise, the potassium-sparing diuretics triamterene and amiloride cause potassium retention. Furosemide promotes renal potassium excretion and often requires concomitant supplemental potassium administration. Ref: Reilly R.F., Jackson E.K. (2011). Chapter 25. Regulation of Renal Function and Vascular Volume. In L.L. Brunton, B.A. Chabner, B.C. Knollmann (Eds),Goodman & Gilman's The Pharmacological Basis of Therapeutics, 12e.",C
