Question,A,B,C,D,Explanation,Answer
According to Broun 'Chemical tourniquet' is:,Adrenaline.,Hyaluronidase,Both,None.,Adrenaline was discovered by Albel. Broun suggested using adrenaline as a 'Chemical tourniquet' to prolong the duration of local anesthetics.,A
In which case Immunoguided surgery is done ?,Ca colon,Ca pancreas,Ca jejunum,Ca anal canal,"Ans is 'a' ie Ca Colon Radioinununoguided surgery (RIGS) is a new technology capable of detecting minimal neoplastic lesions using radiocolloids, intraoperatively. It has numerous uses in oncology. it uses colloid radiotracers, monoclonal antibodies or non-immunological tracers. Its uses are Radioguided Occult Lesion Localization (ROLL) and Sentinel Lymph-Node Biopsy (SLNB). The malignancies mentioned in the above given web addresses of Pubmed, in which RIGS is being used are: Breast cancer - Colorectal cancer - Non small cell lung cancer",A
"A biopsy from a mass shows parafollicular cells.
What is the tumor marker?",Calcitonin,T4,Thyroxine,Thyroglobulin,Caclitonin is the tumor marker for MTC which arises from parafollicular cells.,A
Most common cause of urethral stricture is,Trauma,Infection,Congenital,Post endoscopy,"Urethral stricture CAUSES The common causes of urethral stricture are: * Inflammatory * Secondary to urethritis * Secondary to balanitis xerotica obliterans (BXO) * Traumatic (MC) * Bulbar urethral injury * Pelvic fracture urethral disruption injury * Iatrogenic * Secondary to urethral instrumentation including cath- eterisation and transurethral prostatectomy * Secondary to radical prostatectomy * Secondary to radiotherapy for prostate cancer * Idiopathic CLINICAL FEATURES Symptoms are usually hesitancy of micturition, straining to void and a poor urinary stream. The relative youthfulness of the patient often rules out prostatic enlargement, which characteristically occurs after the age of 50. As the stream becomes narrower, micturition is prolonged and is followed by postmicturition dribbling as a result of urine trickling from the dilated urethra proximal to the stricture. Urinary frequency by day and night is common and is due to incomplete bladder emptying, coexisting detrusor overactivity or urinary infection. If the stricture is tight enough, the patient will go into acute retention, although this is rare. If this happens, there is a danger that clumsy attempts to pass a urethral catheter will result in a false passage. If a patient has gone into retention because of a urethral stricture, its lumen will be too narrow to pass even a tiny catheter and suprapubic catheterisation is required. Investigation involves uroflowmetry, urethroscopy, urethrography and ultrasound scanning to assess bladder emptying and to detect any upper tract dilatation. The urinary flow rate is typically prolonged and plateau shaped while urethroscopy allows the stricture to be viewedas a circumferential scar. Openings of false passages commemorate previous misguided attempts to pass a urethral catheter. Urethrography using a water-soluble contrast medium will show the extent and severity of the stricture Ref: Bailey and love 27th edition Pgno : 1482",A
The most common complication of ERCP,Acute pancreatitis,Acute Cholangitis,Duodenal perforation,Acute cholecystitis,"ERCP carries additional risks. Pancreatitis occurs in about 5% of patients undergoing ERCP and is seen in up to 25% of patients with sphincter of Oddi dysfunction. Young anicteric patients with normal ducts are at increased risk. Post-ERCP pancreatitis is usually mild and self-limited but may infrequently result in prolonged hospitalization, surgery, diabetes, or death. Bleeding occurs after 1 % of endoscopic phincterotomies. Ascending cholangitis, pseudocyst infection, and retroperitoneal perforation and abscess may all occur as a result of ERCP. Common cause of pancreatitis 1. Gallstones (including microlithiasis) 2. Alcohol (acute and chronic alcoholism) 3. Hyperiglyceridemia 4. Endoscopic retrograde Cholangiopancreatography (ERCP), especially after biliary manometry 5. Trauma (especially blunt abdominal trauma) 6. Postoperative (abdominal and non abdominal operations) 7. Drugs (azathioprine, 6-mercaptopurine, sulfonarnides, estrogens, tetracycline, valproic acid, anti-HIV medications) 8. Sphincter of Oddi dysfunction.",A
Supracondylar fracture of the femur commonly injures which structure: September 2005,Sciatic nerve,Popliteal nerve,Popliteal vessel,Femoral vessel,Ans. C: Popliteal Vessel Femoral vessel is commonly injured in fracture of the lower third of femur. Sciatic nerve is affected in posterior dislocationof the hip.,C
In Neibulowitz surgery what is done?,Skin bridge,Lymph node with vein anastomosis,Ileal mucosal patch,All of the above,"Neibulowitz is a reconstructive surgical procedure to treat lymphedema refractory to medical management . Indicated in patients with proximal (either primary or secondary) obstruction of the extremity, lymphatic obstruction, dilated lymphatics distal to obstruction. It is a bypass procedure anastomosing lymph nodes to veins .",B
What is true regarding congenital hyperophic pyloric stenosis -,More common in gilrs,Hypochloremic alkalosis,Hellers myotomy is the procedure of choice,Most often manifests at bih,"Ans. is 'b' i.e., Hypochloremic alkalosis Heller's myotomy is the surgery for Achlasia Cardia, not HPS.",B
"A 35-year-old smoker is involved in a house fire and receives a 45% total surface area burn. One half of the burned surface appears to be third degree. On the third post-burn day, the patient is noted to have bloody drainage from a nasogastric tube and a decrease of 5% in his hematocrit. Appropriate management should include which of the following?",Urgent upper gastrointestinal contrast study to delineate site of bleeding,Immediate selective aeriography the left gastric aery to diagnose and treat presumed stress ulceration,Urgent esophagogastroduodenoscopy to diagnosis the cause of bleeding,Urgent intravenous infusion of vasopressin at 0.2-0.4 IU/min,"Patients who have sustained a major thermal burn of 35% or more of their body surface area are at a predictably high risk for the development of gastric erosions and hemorrhage. Endoscopy has demonstrated that gastric erosions are present in 93% of these patients, whereas the occurrence of severe acute upper gastrointestinal hemorrhage in severely burned patients ranges between 25% to 50%. At least 60% of patients at risk develop stress erosions within 1 to 2 days after the precipitating event. Painless upper gastrointestinal bleeding may be the only clinical sign. The onset of hemorrhage is often delayed, usually occurring 3 to 10 days after the onset of the primary disease. Esophagogastroduodenoscopy is the diagnostic modality of choice to confirm the diagnosis and to differentiate stress erosion from other sources of upper gastrointestinal hemorrhage. Correct identification of the bleeding source is made in greater than 90% of instances. If endoscopy is not diagnostic, visceral angiography through selective catheterization of the left gastric or splenic vessels may provide information regarding the primary vessel supplying the bleeding site. In contrast, barium examinations are usually of little value, due to the superficial nature of stress erosions, and in fact may be detrimental by interfering with the interpretation of subsequent aeriography.",C
Collar Button Ulcer is a feature of -,Crohn's Disease,Ischaemic Colitis,SigmoidVolvulus,Ulcerative colitis,"Ans. is 'd' i.e., Ulcerative colitis o Repeat from previous sessions",D
Features of hypospadias are all except -,Chordee,Hooded prepuce,No-treatment required with glandular veriety,Cryptorchidism,"Ans is 'd' i.e., Cryptorchidism Cambell's Urology defines hypospadias as an association of 3 anatomic and developmental anomalies of penis.1) An abnormal ventral opening of the urethral meatus2) An abnormal Ventral curvature of the penis (chordee)3) A abnormal distribution of foreskin with a 'hood' present dorsally and deficient foreskin ventrally (hooded prepuce)Remember that Cryptorchidism is not a feature of hypospadias. But it may be seen associated with hypospadias in 8-9% of cases",D
Which is true about intestinal tuberculosis -a) Common site is appendixb) Causes intestinal perforationc) Commonly associated with pulmonary TBd) Caused by mycobacterium TB,abc,bcd,ac,bd,"• MC site of GI tuberculosis : Ileocecal region.
• MC type of Abdominal tuberculosis : Peritoneal tuberculosis.",B
Which of the following structure does not pass through Cavernous sinus:,Middle Cerebral aery,Internal Carotid aery,Abducens nerve,Trochlear nerve,"Middle Cerebral aery (Ref: B.D. Chaurasia, 3rd Ed, Vol lll/Pg 72, 73) Relation of Cavernous sinus: A. Structures outside the sinus: (a) Superiorly: Optic tract, internal carotid aery, & anterior perforated substance (b) Inferiorly: Foramen lacerum & junction of greater wing of sphenoid (c) Medially: Hypophysis cerebri & sphenoid sinus (d) Laterally: Temporal lobe with uncus (e) Anteriorly: Superior orbital fissure & apex of the orbit (f) Posteriorly: Apex of petrous temporal bone & crus cerebri of midbrain B. Structures in the lateral wall of sinus: (a) Occulomotor nerve (b) Trochlear nerve (c) Ophthalmic nerve (d) Maxillary nerve (e) Trigeminal nerve C. Structures passing through the centre of sinus: (a) Internal carotid aery (b) Abducens nerve",A
Deformity in transient synovitis of Hip ?,Abduction,Flexion,External rotation,All of the above,"Ans. is 'd' i.e., All of the above Transient synovitis of Hip Transient synovitis of hip is also known as observation hip, toxic synovitis or irritable hip. Its a self-limiting, inflammatory condition of the synovium, that lasts only a sho time (therefore known as transient) It is the most common cause of hip pain and limp in children under 10 yrs of age. Cause is not known but association has been seen with a recent history of an upper respiratory tract infection. Presentation is with hip pain or limp. The limb is in attitude of slight flexion, abduction and external rotation. The child may have low grade fever. The ESR, C-Reactive protein & WBCs count are normal (This differentiates Transient synovitis from Septic ahiritis a serious condition, in which patient has high grade fever and elevated ESR, C-Reactive protein and WBC count). Radiograph or ultrasound may show widening of the joint space However, most of the time x-ray is normal. Usually the treatment of a clinically suspected case of transient synovitis of hip is Bed rest, NSAIDS and observation. USG guided aspiration is indicated for :- Temperature > 99.5deg F ESR > 20 (Raised ESR) Severe hip pain with ROM",D
Trendelenbergs test is positive in injury to: September 2012,Superior gluteal nerve,Inferior gluteal nerve,Pudendal nerve,Obturator nerve,"Ans. A i.e. Superior gluteal nerve injury Trendelenburg test The patient is asked to stand on one leg for 30 seconds without leaning to one side. Doctor obsereves the patient to see if the pelvis stays level during the one-leg stance by observing ASIS (anterior superior iliac spine) A positive Trendelenburg Test is indicated if during unilateral weight bearing the pelvis drops toward the unsuppoed side A positive test can indicate an unstable hip on the unsuppoed side or a weak gluteus medius muscle of the standing leg. There are two impoant elements that maintain the stability of the hip in the standing position. -- First the strength of the surrounding muscles (gluteus medius, gluteus minimus), and second -- The lever system of the femoral neck and head in the hip joint. Involvement of any of the structure gives a positive result",A
Linitus plastic,Borrmann class I,Borrmann class II,Borrmann class III,Borrmann class IV,"Borrmann 1-single polypoidal carcinoma, Borrmann 2- ulcerated carcinoma with clear-cut margin, Borrmann 3-ulcerated carcinoma without clear-cut margin, Borrmann 4- diffuse carcinoma - linitis plastica. Reference ,SRB edition : 5 page:847",D
Aaron's sign is seen in:,Chronic appendicitis,Hiatus hernia,Mediastinum emphysema,Acute appendicitis,Abdominal Examination Signs Sign Description Diagnosis Aaron Sign Pain or pressure in epigastrium or anterior chest with persistent firm pressure applied to McBurney's point. Acute appendicitis Bassler Sign Sharp pain created by compressing appendix between abdominal wall and iliacus Chronic appendicitis Blumberg's Sign Transient abdominal wall rebound tenderness Peritoneal inflammation Carnett's Sign Loss of abdominal tenderness when abdominal wall muscles are contracted Intra-abdominal source of abdominal pain Claybrook Sign Accentuation of breath and cardiac sounds through abdominal wall Ruptured abdominal viscus Mannkopf's Sign Increased pulse when painful abdomen palpated Absent if malingering Ten Horn Sign Pain caused by gentle traction of right testicle Acute appendicitis,D
A neonate with a scaphoid abdomen and respiratory distress has -,Congenital pyloric stenosis,Diaphragmatic hernia,Volvulus,Wilm's tumor,"In congenital 'aphragmatic hernia, there is herniation of intraabdominal contents into the chest. It is also associated with pulmonary hypoplasia and pulmonary hypertension.
The infant presents with respiratory distress and a scaphoid abdomen.
Those with large defects are symptomatic in the delivery room, with tachypnea, grunting respirations, retractions and cyanosis. Those with smaller defects, symptoms may appear months later.",B
&;Homans' sign is seen in,Deep vein thrombosis,Pulmonary embolism,Peripheral vascular disease,Lymphanitis,"Signs are seen in DVTHoman's sign: calf pain on dorsiflexion of the footBancroft&;s sign or Moses&; sign: pain is elicited when the calf muscle is compressed These signs are neither sensitive nor specific for the presence of thrombosis, and not done in fear of dislodgment of clotRef: Bailey and Love 27e pg: 281",A
"All of the following cause myocardial depression, except",Halothane,Propofol,Etomidate,Ketamine,"The hemodynamic stability seen with etomidate is caused by its lack of effect on the sympathetic nervous system and on the function of the baroreceptor. The minimal effect of etomidate on cardiovascular function sets it apa from other rapid-onset anesthetics. Etomidate has proven useful in patients with valvular or ischemic hea disease who are undergoing noncardiac surgical procedures and in patients with poor cardiac function. In patients receiving etomidate during induction of anesthesia, more hypeension and tachycardia occur after etomidate compared with propofol. The myocardial oxygen supply-to-demand ratio is well maintained. Myocardial contractility and cardiac output are usually unchanged. Etomidate lacks analgesic efficacy, however, and must be combined with an opiate to prevent hemodynamic peurbations during laryngoscopy and intubation. In the setting of hemorrhagic shock, etomidate has advantages for the induction of anesthesia. In contrast to other drugs, the pharmacodynamics and pharmacokinetics of etomidate were minimally altered in a pig model of hemorrhagic shock. Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",C
Treatment of carcinoma appendix is -,Right hemicolectomy,Extended Right hemicolectomy,Left hemicolectomy,Extended left hemicolectomy,"Ans. is 'a' i.e., Right hemicolectomy Carcinoids and adenocarcinomas of appendix may require right hemicolectomy.o Structures removed in right hemicolectomy :a. Caecum with appendixb. Ascending colonc. Hepatic flexured. Proximal transverse colone. Part of terminal ileumf. Fat and lymphnodes",A
Allen's test is associated with: September 2012,Brachial aery,Popliteal aery,Dorsalis pedis aery,Radial aery,"Ans. D i.e. Radial aery Allen's test The hand is elevated and the patient/person is asked to make a fist-for about 30 seconds. Pressure is applied over the ulnar and the radial aeries so as to occlude both of them. Still elevated, the hand is then opened. It should appear blanched (pallor can be observed at the finger nails). Ulnar pressure is released and the colour should return in 7 seconds. Inference: Ulnar aery supply to the hand is sufficient and it is safe to cannulate/ prick the radial If color does not return or returns after 7-10 seconds, the test is considered positive and the ulnar aery supply to the hand is not sufficient. The radial aery therefore cannot be safely pricked/ cannulated.",D
Which one of the following is the treatment of choice for a desmoids tumor?,Surgery,Radiotherapy,Chemotherapy,Radiotherapy + Chemotherapy,Desmoid tumors are cytologically bland fibrous neoplasms originating from the musculoaponeurotic structures throughout the body. Desmoid tumors are twice more common in females than in males. Primary surgery with negative surgical margins is the most successful primary treatment modality for desmoid tumors. Positive margins after surgery reflect a high risk for recurrence. Wide excision with a 2.5 cm margin is usually done.,A
A 54 year old woman presents with complaints of abdominal fullness and early satiety. She denies a change in bowel habits and says that constipation is her normal state. A radiographic bowel series shows an 'apple core' lesion in her sigmoid colon. Which of the following markers is expected to be elevated in this patient?,Alpha-fetoprotein (AFP),Carcinoembryonic antigen (CEA),Human chorionic gonadotropin (hCG),actate dehydrogenase (LDH),"CEA is a glycoprotein (200,000 daltons) that is found in the gastrointestinal mucosal cells and pancreatobiliary system secretions. It becomes elevated when breaks in the mucosal basement membrane occur due to tumor growth. Some other conditions can also cause elevations of CEA (e.g., cirrhosis, pancreatitis). The patient described above has colonic carcinoma, and the 'apple core' lesion is the classic radiographic finding of this tumor. Although CEA is not used for screening because of the large number of false positives, it can be used to guide treatment in known cases. It returns to normal levels 30-45 days after tumor resection. If it begins to rise again, tumor recurrence is likely. AFP, or alpha-fetoprotein, is an alpha globulin (70,000 daltons) made by the liver and yolk sac of the human fetus. It is elevated with hepatocellular carcinoma and germ cell neoplasms. It is not paicularly specific. hCG, or human chorionic gonadotropin, is a glycoprotein secreted by trophoblastic epithelium of the placenta. It is useful (sensitive and specific) for germ cell tumors of the testis and ovary. LDH, or lactate dehydrogenase, is a very non-specific test that can be elevated in many conditions, including malignancy. Ref: Meric-Bernstam F., Pollock R.E. (2010). Chapter 10. Oncology. In F.C. Brunicardi, D.K. Andersen, T.R. Billiar, D.L. Dunn, J.G. Hunter, J.B. Matthews, R.E. Pollock (Eds), Schwaz's Principles of Surgery, 9e.",B
Surgeon excises a poion of the liver to the left of the attachment of the falciform ligament. The segments that have been resected are,Segment 1a and 4,Segment 1 and 4b,Segment 2 and 3,Segment 1 and 3,"Segments II and IIIare to the left of the left hepatic vein and falciform ligament with II superior and III inferior to the poal plane. segment I is the caudate lobe situated posteriorly around the IVC, segment IV includes the quadrate lobe. segment IV lies between the left and middle hepatic veins; it is subdivided into IVa(superior) and IVb (inferior) sub-segments easy tip: IVa is above and IVb is below the poal plane.",C
MELD diagnostic score -,Predicts mortality in patient waiting liver transplant,Higher score - less mortality risk,Predicts mortality risk for a 60 day period,It is a 4 to 60 scale,"Ans. is 'a' i.e., Predicts mortality in patients waiting liver transplanto MELD (The model for end-stage liver disease) is a linear regression model based on objective laboratory values(INR, bilirubin level and creatinine level). It wras originally developed to predict mortality after TIPSS. It is used in USfor liver transplant allocation,o It is a 6 to 40 point scale.o The relative risk of mortality increases by 14% for each 1 point increase in MELD score.MELD score =3-8 1og(e) (S.bilirubin mg'dl) +11-2 log(e) (INR) + 9-6 log(e) (S. creatinine mg/dl).orMELD score = 10",A
Earliest sign of systemic absorption of local anaesthetic is –,Convulsions,Circulatory collapse,Circumoral numbness,Respiratory arrest,"Manifestations of local anesthetic toxicity (including lidocaine & bupivacaine)

Early symptoms (Prodrome) Circumoral numbness, dizziness, tongue paresthesia, restlessness, tinnitus, agitation.
CNS symptoms :- These are biphasic i.e. excitation (convulsions, restlessness, agitation & tinnitus), followed by depression (drowsiness, disorientation, respiratory depression, unconsciousness).
Cardiovascular manifestations :- hypotension, cardiac arrest, coma.",C
"A 25 year old male presents with red, swollen testis. Upon examination testis is felt separate from epididymis because of marked swelling in epididymis. Diagnosis:",Testicular torsion,Fourniers gangrene,Epididymo orchitis,Testicular Cancer,"Ans. (c) Epididymo orchitisRef: Bailey & Love 26th ed./1384ACUTE EPtDIDYMO ORCHITIS* Inflammation of the epididymis and testis, from an ascending infection from the lower urinary tract.* Initially epididymis is involved, after that there is involvement of testis.* Most cases of epididymitis in men younger than 35 years are due to sexually transmitted organisms * In children and older men this is due to urinary pathogens such as E. coli.* Patient presents with fever, swollen, red and tender scrotum.* The epididymis and testis are swollen (Thickened cord with reactive hydrocoele).* Urine analysis typically demonstrates WBCs and bacteria in the urine or urethral discharge* Scrotal USG showing enlarged epididymis with increased blood flow with reactive hydrocoele.Also know* Testicular torsion is commonly seen in pre- pubertal age group (10-25 years). Patients usually presents with sudden agonizing pain.",C
Which statement about irritable bowel syndrome is true?,Lactase deficiency is the preferred term,An underlying neuromuscular or hormonal defect is likely,An underlying immunologic defect is likely,The syndrome may be a premalignant state,"An underlying neuromuscular or hormonal defect Irritable bowel syndrome, a common cause of alternating diarrhea and constipation, is a functional disorder of motility that probably involves a neuromuscular or hormonal defect. Lactase deficiency is a separate entity that may contribute to irritable bowel syndrome but also may be totally unrelated. There is no evidence of an immunologic defect, and the syndrome is not considered a premalignant state. Incontinence is a symptom of altered anorectal physiology seen with inflammatory diseases of the anal canal and with systemic neuromuscular disorders, such as diabetes or scleroderma; whereas incontinence occasionally may be seen with explosive diarrhea, incontinence is not a common feature of irritable bowel syndrome and should suggest a systemic disorder.",B
True about Lymphangioma is?,Common in pubey,Respond in low doses to radiotherapy,Lymphangioma progress slowly and may invade local tissue,Predispose to cancers,"Lymphangioma progress slowly and may invade local tissue REF: Sabiston 18th ed chapter 69 Lymphangioma are the lymphatic analogue of the Hemangioma of blood vessels. They are generally divided into two types: (1) simple or capillary lymphangioma and (2) cavernous lymphangioma or cystic hygroma. They are thought to represent isolated and sequestered segments of the lymphatic system that retain the ability to produce lymph. As the volume of lymph inside the cystic tumor increases, they grow larger within the surrounding tissues. Most of these benign tumors are present at bih, and 90% of them can be identified by the end of the first year of life. The cavernous lymphangioma almost invariably occur in the neck or the axilla and rarely in the retroperitoneum. The simple capillary lymphangioma also tend to occur subcutaneously in the head and neck region as well as the axilla. Rarely, however, they can be found in the trunk within the internal organs or the connective tissue in and around the abdominal or thoracic cavities. The treatment of lymphangioma is surgical excision, taking care to preserve all normal surrounding infiltrated structures. Lymphangiosarcoma is a rare tumor that develops as a complication of long-standing (usually more than 10 years) lymphedema. Clinically, patients present with acute worsening of the edema and appearance of subcutaneous nodules that have a propensity toward hemorrhage and ulceration. The tumor can be treated, as other sarcomas, with preoperative chemotherapy and radiation followed by surgical excision, which usually takes the form of radical amputation. Overall, the tumor has a poor prognosis",C
"An 87-year-old woman is referred to you for evaluation of lower back pain. It is exacerbated by walking or prolonged standing and occa-sionally made better by bending over. Physical examination reveals a thin, elderly woman who walks with a cane with her lower back moderately flexed. Motor power in her lower extremities is normal, but she has impaired sensation to light touch and vibration below the L4 dermatome bilaterally. Deep tendon reflexes are normal in her upper extremities but absent in both lower extremities. You refer her for magnetic resonance imaging (MRI) of the lumbosacral spine. What will be the most likely finding on this study?",Lumbar spinal stenosis,A fracture of the odontoid process,A herniated L3-L4 disk causing unilateral compression of the L4 root,Spinal cord compression at the level of L1 veebra level,"The clinical presentation indicates a lower motor neuron lesion. The clinical diagnosis is neurologic claudication secondary to lumbar spinal stenosis, which is commonly seen in eld-erly persons in whom (as a consequence of wear and tear over the years) bony structures of the lumbar spine hyperophy and develop osteophytes. These bony changes, in turn, lead to stenosis of the spinal canal and interveebral foramina. Thus, the result is compression and dysfunction of multiple lumbosacral nerve roots bilaterally. Bending over opens the lumbar canal and relieves the stenosis.",A
Adult respiratory distress syndrome is defined by all except:,PCWP > 18 mmHg,PaO2/FiO2 < 200,Diffuse bilateral air space edema on Chest X-Ray,All of the above,Diagnostic Criteria Acute Lung Injury (ALI) ARDS PaO2/FiO2 </= 300 mmHg </= 200 mmHg Onset Acute Acute Chest X-Ray Bilateral alveolar or interstitial infiltrates Bilateral alveolar or interstitial infiltrates Absence of Left Atrial Hypeension PCWP </= 18 mmHg No Clinical evidence of increased left atrial pressure PCWP </= 18 mmHg No clinical evidence of increased left atrial pressure Ref: Harrison&;s 19th edition Pgno: 1736,A
Ankle-brachial pressure index (ABPI)less than 0.3 indicates,Normal value,Claudication,Rest pain,Imminent necrosis,"Ankle-brachial pressure index (ABPI) is the ratio of systolic pressure at the ankle to that in the ipsilateral arm.> 1.3Calcified, incompressible aeries that are often found in diabetic patients.0.9 - 1.3 Normal< 0.9 Claudication< 0.5Rest pain< 0.3 Imminent necrosisRef: Bailey and love pg: 945",D
Inhalational anesthetic of choice in children is?,Sevoflurane,Halothane,Desflurane,Isoflurane,"Ans. is 'a' i.e., Sevoflurane * Unlike desflurane, sevoflurane poses no problem in induction, acceptability is good even in pediatric patients.* Therefore, sevoflurane is the inhalational agent of choice for induction.* Ketamine is the i/v anesthetic of choice in children.Anesthesia in Children -InductionInhalational induction* Inhalational agent with mask is the induction method of choice in children.* Sevoflurane is the inhalation agent of choice for induction. Sevoflurane is used in N2O+O2 gas mixture. Halothane is second choice inhalational agent for induction. Isoflurane and desflurane are not used for induction as they are more pungent and associated with more coughing 8c laryngospasm.Intravenous induction* Intravenous induction is preferred when induction by mask is contraindicated i.e., in full stomach patients or of child comes in the operation theatre with IV line in situ.* Thiopentol or propofol are commonly used agents. Propofol is particularly suitable for out patient surgery. Ketamine is preferred in children with hypovolemia. Etomidate can be used in child with unstable cardiovascular status as it is most cardio-vascular stable intravenous inducing agent.Maintenance* As sevoflurane cause emergence delirium and agitation, it is not used for maintenance. After induction with sevoflurane anaesthesia, isoflurane or Halothane are used for maintenance anaesthesia. During maintenance, anaesthetic gas mixture contain N2O+O2 +Halothane or isoflurane. Halothane is commonly used for induction and maintenance in children.* If sevoflurane is continued for maintenance, administration of an opioid (Fentanyl) 15-20 min before the end of the procedure can reduce the incidence of emergence delirium and agitation.Muscle relaxantsDepolarizing blockers* Children are more susceptible to cardiac arrhythmia, Hyperkalemia and rhabdomyolysis after administration of succinylcholine. If a child unexpectedly experiences cardiac arrest following administration of sucinylcholine, immediate treatment for hyperkalemia should be instituted. For this reason, succinylcholine is best avoided for routine elective surgery in children.* Generally accepted indications for succinylcholine are1) Rapid sequence induction, 2) Laryngospasm, and 3) Rapid muscle relaxation prior to intravenous access (e.g., regurgitation).* Profound bradycardia and sinus node arrest can develop in pediatric patients following first dose of succinyl choline, if given without pretreatment with atropine. Therefore, atropine must always be administered prior to succinylcholine in children.* Children with muscular dystrophy are more prone to develop hyperkalemia: Arrhythmia and cardiac arrest may occur - Should be avoided in such patients.Non-depolarizing muscle relaxants* Functional maturation of NM junction is not complete unti 12 months of age, therefore new born sarevery sensitive to non-depolarizing muscle relaxants.* Kidney and liver functions are immature in neonate - Atracurium/cisatracurium is the muscle relaxant of choice in newborn as it does not require renal or hepatic elimination. For the same reason mivacurium can also be used.* In older children the choice of non-depolarizing muscle relaxant depends on the side effects, and onset & duration of action: -i) Mivacurium for procedures lasting 10-15 min.ii) Atracurium/cisatracurium for precedures lasting around 30 min.iii) Pancuronium when tachycardia is desired e.g., with fentanyliv) Vecuronium (fastest acting non-depolarizing NM blocker) for intubation in place of SCH.v) Atracurium/cisatracurium in patients with renal or hepatic disease.",A
External hemorrhoids below the dentate line are:,Painful,Ligation is done as management,Skin tag is not seen in these cases,May turn malignant,"Ans. a. Painful (Ref: Sabiston 19/e p1387-1391; Schwartz 9/e p1057-1059; Bailey 26/e p1250-1257, 25/e p1253-1259; Schackelford 7/e p1896-1906)External hemorrhoids are located below dentate line and are painful.External Hemorrhoids:Located distal to dentate lineQAlso known as 5-days painful self curing lesionPainful, not ligatedQExcision is doneQRepeated thrombosis leads to semi-ripe black current appearanceHemorrhoidRecent theories regard hemorrhoids as normal anatomical structuresQ.These are cushions of submucosal tissue containing venules, arterioles, smooth muscle fibres and elastic connective tissue.Three hemorrhoidal cushions are found in the left lateral, right anterior and right posterior position (3, 7 and 11 O' Clock)QHemorrhoids or piles are symptomatic anal cushionsMore common when intra-abdominal pressure is raised, e.g. in obesity, constipation and pregnancySymptoms: bright-red, painless bleeding, mucus discharge and prolapseHemorrhoids cannot be palpated, best diagnosed by proctoscopyQ.Internal HemorrhoidsExternal Hemorrhoids* Located proximal to the dentate lineQ* Painless, can be ligatedQ* Banding is preferredQ* Located distal to dentate lineQ* Also known as 5-days painful self curing lesion* Painful, not ligatedQ* Excision is doneQ* Repeated thrombosis leads to semi-ripe black current appearanceQ Classification of Internal hemorrhoids1st degreePainless bleedingQ, no prolapse2nd degreeProlapse through the anus, on straining but reduce spontaneouslyQ3rd degreeProlapse through the anal canal and require manual reductionQ4th degreePermanently prolapsed and cannot be manually reduced.QTreatment:Mere presence of hemorrhoids is not necessarily an indication of treatment.Treatment is only indicated if they are symptomatic. Best treatment is the least invasive one which is possible to alleviate the symptomsQ.Treatment of hemorrhoidsMedical therapy* Bleeding from 1st and 2nd degree hemorrhoids often improve with the addition of dietary fibre, stool softeners and other diet regulationQ.Rubber band ligation* Done for 1st, 2nd and selected 3rd degree hemorrhoidsQInfrared Photocoagulation* Done for 1st and 2nd degree hemorrhoidsSclerotherapy* Done for 1+, 2nd and selected 3rd degree hemorrhoidsQ* Most commonly used sclerosant is 5% phenol in almond or arachis oil.OperativehemorrhoidectomyQ* 3rd and 4th degree hemorrhoidQ* 2nd degree not cured by non-operative methodsQ* Mixed (combine internal/external hemorrhoids)Q* Fibrosed hemorrhoidsOperative HemorrhoidectomyMilligan-Morgan open hemorrhoidectomyQFerguson closed hemorrhoidectomyQWhitefield submucosal hemorrhoidectomyQLonga's stapler hemorrhoidectomyQ",A
All are scoring system used in liver transplant except:-,CTP,MEGX,MELD,MPI,"Child-Turcotte-Pugh (CTP) score, Model for End Stage Liver Disease (MELD) score & Pediatric End Stage Liver Disease (PELD) MEGX(Monoethylglycinexylidine ) score are used in liver transplantation. The MELD score is based on bilirubin and creatinine levels and the international normalized ratio (INR). Pediatric donor livers are distributed to pediatric patients preferentially. The scoring used in pediatric patients is referred to as the pediatric end-stage liver disease (PELD) score. The MEGX is rapid and simple test which can assess the function of liver and widely used for liver transplantation in critical care medicines",D
Carcinoma of transverse colon is normally treated by,Right hemicolectomy,Extended right hemicolectomy,Left hemicloectomy,Extended left hemicolectomy,"Carcinomas of the transverse colon and splenic flexure are most commonly treated by an extended right hemicolectomy. Right HemicolectomyCarcinoma of the caecum orascending colonExtended right hemicolectomyCarcinomas of the transversecolon and splenic flexure*Some surgeons prefer to perform a lefthemicolectomy for a splenic flexure cancer.Left hemicolectomydescending colon and sigmoid cancersRef: Bailey and love, page: 1262",B
Adrenocortical carcinoma of size 6cm without invading surrounding structure is classified as :,Stage I Adrenocortical carcinoma,Stage II Adrenocortical carcinoma,Stage III Adrenocortical carcinoma,Stage IV Adrenocortical carcinoma,"Mc Farlane classification of Adrenocortical tumour :

Stage I : < sem.
Stage II : > sem.
Stage III : Locally invasive tumour.
Stage IV : Destant metastasis.",B
Which anaesthetic agent increases intracranial tension among the following,Thiopentone,Propofol,Lignocaine,Sevoflurane,All inhalational anaesthetics directly act on cerebral blood vessels→vasodilatation→increase cerebral blood flow→ increase intracranial tension,D
