Question,A,B,C,D,Explanation,Answer
"In PML, all of the following are seen except :",Retinoic acid is used in treatment,15/17 translocation,CD 15/34 both seen in same cell,Associated with DIVC,Answer is C (CD15 / 34 both seen in same cell) Acute promyelocytic Leukaemia (PML : FAB M3) * This is a type of Acute Myeloid Leukaemia (AML) and has been classified as the M3 category according to the FAB morphological classification.9 * It constitutes 5 - 10% of all AML (Robbin's / Ghai) Pathological characteristic of PML * It is characterized by the chromosomal translocation 1(15;17)Q - CMDT * t(1 5;17) translocation produces a fusion gene ( PML-RAR }involving the Retinoic Acid Receptor gene and Promyelocytic Leukemia (PML) gene. This PML - RaR fusion protein tends to suppress gene transcription and blocks differentiation of cells. This block can be overcome with pharmacological doses of retinoic acid (Harrrison). * Most cells are hypergranularQ promyelocytes often with many Auer rods per cell. Presentation characteristic / Specific features of PML * Patients of PML are younger (median age 35 - 40 years) - Robbin's * Incidence of Disseminated Intravascular Coagulation (DIVC) is high in patient with PML. -Robbin's DIC may occur with any subgroup of AML but is especially common in acute PML (M3)-Ghai Treatment specific to PML subject All-Trans Retinoic Acid (ATRA/Tretinoin) * The treatment of patient with PML has been dramatically improved by the use of All - Trans - Retinoic acid. This agent is an analog of vitamin A that leads to terminal differentiation of occult promyelocytic leukemia cells. - CMDT * Remission in PML is induced by All - Trans-Retinoic acid as a single agent -Ghai Arsenic Trioxide Arsenic Trioxide produces meaningful response in upto 85% of patients refractory to tretinoin,C
Level of prolactin above which hyperprolactinemia term is used is?,50,100,150,200,"Normal adult serum PRL levels are about 10-25 mg/L in women and 10-20 mg/L in men. PRL secretion is pulsatile, with the highest secretory peaks occurring during rapid eye movement sleep. Peak serum PRL levels (up to 30 mg/L) occur between 4:00 and 6:00 a.m. The circulating half-life of PRL is about 50 min. Hyperprolactinemia refers to prolactin levels more than 200mg/L in blood and most common cause is PRL-secreting pituitary adenomas called as prolactinoma. Hyperprolactinemia is the most common pituitary hormone hyper-secretion syndrome in both men and women.",D
In embalmingr solution is given through ?,Veins,Aeries,Lymphatics,none of above,Emblamings may be aerial emblaming and cavity emblaming.,B
Attempt to throw acid on any person with the intention of causing damage can be punished by,320 IPC,326 IPC,326 (A) IPC,326 (B) IPC,"Section 326 Voluntarily causing grievous hu by dangerous weapons or means Imprisonment for Life or 10 Years + Fine Section 326 A Voluntarily causing grievous hu by the use of acid, etc. 10 years to Life + Fine paid to the victim Section 326 B Voluntarily throwing or attempting to throw acid 5 to 7 years + Fine Ref: Krishnan vij Textbook of Forensic Medicine and Toxicology; 5th ed; Page no: 197",D
Black scab is formed at,4-5 days,6-7 days,Less than 24 hours,After 7-10 days,Age of abrasion Less than 24 hours bright red - reddish scab 2-3 days reddish- brown scab 4-5 days dark brown scab 6-7 days black scab ref: FORENSIC MEDICINE AND TOXICOLOGY Dr PC IGNATIUS THIRD EDITION PAGE 114,B
Minimum ANC visits during pregnancy should be,3,5,9,12,"Ans. a (3). (Ref. Park, PSM, 22nd ed/pg 483)# Ideally mother should attend the antenatal clinic once a month during the first 7 months; twice a month, during the next month and thereafter once a week.# Because high proportion of mothers in India are from lower socioeconomic group and many are working women it is difficult to attend antenatal clinic so often.# Hence minimum of 4 visits should be the larget:-1st visit - within 12 weeks/as soon as pregnancy suspected (registration of pregnancy and first antenatal check up)2nd visit- 14--26 weeks3rd visit- between 28-34 weeks4th visit- between 26 weeks and term# It is advisable for woman to visit medical officer at the PHC during 28-34 weeks.# She may be advised to avail investigation facilities at the nearest PHC/CHC/FRU# Registration of pregnancy within 12 weeks is the primary responsibility of the ANM# Opportunities such as village Health Nutrition day should be availed to ensure early registration of pregnancy and antenatal checkup.TermCommentsAge compositionBelow 15 years decreasing, elderly increasingAge pyramidTypical of underdeveloped country in India with broad base and tapering top.In Switzerland it has bulge at middle.Sex ratioThe number of females per 1000 males. It is 936 in India.It has been adverse to women in India except for Kerala.Dependency ratioTotal dependency 65.5 (1995) and 55.5 (2005),child dependency 57.8 (1995) and 47.2 (2005),old-age dependency 7.6 (1995) and 8.3 (2005).Density of populationIt is number of persons per square km.It is >/= 4000/km2",A
"Interpret the following ABG values PaCO-40, HCO-55 mEq/L and pH-7.7:",Uncompensated metabolic alkalosis,Mixed respiratory and metabolic acidosis,Combined respiratory and metabolic acidosis,Compensated respiratory acidosis,"Ans: (a) Uncompensated metabolic alkalosisRef: Harrison's Principles of Internal Medicine, 19th edition,Chapter 66 20.Step 1: Review the patientExamine the patient for clues as to the type of disturbance.Step 2: Analyse the oxygenationLook for signs of hypoxia, by assessing the PaO and SaO.Step 3: Assess the pH: Is there an acidosis or alkalosis?pH<7.35 is an acidosis; pH>7.45 is an alkalosisStep 4: Assess for respiratory disturbanceConsider the state of alveolar ventilation by evaluating the PaCO.Step 5: Assess for metabolic disturbanceExamine HCO and BE in relation to pH, to determine metabolic involvement.Step 6: Establish if the disturbance is compensatory or mixedObserve the pH to determine if the compensation is appropriate for the primary disturbance (complete or partial)DisorderPrimary ChangeCompensatory ResponseMetabolicAcidosis||pCO1.2mmHg for every 1mEq/L|OR pCO=last two digits of pHMetabolicalkalosis||pCO0.7mmHg for every 1mEq/L|RespiratoryAcidosis|pCO Acute will |0.1mmol/L per mmHg| in PaCOChronic will |0.4mmol/Lper mmHg| in PaCORespiratoryalkalosis|pCO Acute will |0.2mmol/L per mmHg| in PaCOChronic will |0.4mmol/L per mmHg| in PaCO Normal levels of blood pH,pCO and HCOBlood levels criteriaVenousArterialpH7.35-7.407.38-7.45PCO45-50torr35-45torrHCO24-25mEq/L23-27mEq/LNormal ABG valuesH+(35-45nmol/L)<35=alkalemia,>45=academiapH(7.35-7.45)<7.35=acidemia,>7.45=alkalemiaPO(>10.6kPaor>80mmHg in arterial blood on room air)PCO(4.7-6.0kPaor35-45mmHg in arterial blood)SpO(>96% on room air)HCO (22-28mmol/L)BE (-2 to +2)Lactate (0.4-1.5mmol/L)Stepwise approach for acid-base disorderspH<7.35=acidosis; pH>7.45=alkalosisPrimary change in HCO-metabolicIf the change in HCO is in keeping with the pH (i.e., acidosis + decreased HCO), the problem is metabolicIf the change in HCO is opposite with the pH (i.e., acidosis + increased HCO), the problem is compensatory metabolicPrimary change in CO-respiratoryIf the change in CO is in keeping with the pH (i.e., acidosis + increased CO), the problem is respiratoryIf the change in CO is opposite with the pH (i.e., acidosis + decreased CO), the problem is compensatory respiratoryMixed acid-base disordersPresent when compensation is not appropriateCompensation never overcorrects the primary disturbance Expected compensationLimit of compensationMetabolic acidosisPCO=1.5x+8+-2PCO does not fall below 10 mm HgMetabolic alkalosisPCO increases by 7 mm Hg for each 10 mEq/L increase in serum PCO does not rise above 55mmHgAcute respiratory acidosis increases by 1 for each 10 mm Hg increase in PCOHCO does not rise above 30mEq/LChronic respiratory acidosis increases by 3.5 for each 10 mm Hg increase in PCOHCO does not rise above 45mEq/LAcute respiratory alkalosis falls by 2 for each 10 mm Hg decrease in PCOHCO does not fall below 18mEq/LChronic respiratory alkalosis falls by 4 for each 10 mm Hg decrease in PCOHCO does not fall below 12mEq/L",A
Hardness of drinking w ater should be?,>3,l,3-Jan,>6,"Ans. is 'c' i.e., 1-3 o Drinking water should be moderately hard (1-3 meq/Lit) Park 2la/ep. 672o Softening of water is recommended when the hardness exceeds 3meq/L (150 mg'L).Hardness of watero Hardness of water is defined as the soap-destroying power of water,o Water is considered to be bard if large amounts of soap are required to produce lather.o The hardness is caused by high mineral content, Mainly calcium and magnesium cations,o Hardness may be : -i) Temporary (Carbonate) hardness - Calcium bicarbonate & Magnesium bicarbonate.# It is called temporary because it can be removed by boiling or addition of lime.ii) Permanent (Non-Carbonate) hardness - Calcium Sulfate, magnesium sulfate, Calcium chloride, magnesium chloride# It is called permanent because it cannot be removed by boiling,o Hardness is expressed in terms of mili-equilents per litre (mEq/L).o One mEq/L of hardness - producing ion is equal to 50 mg CaCO3 (50ppm) in one litre of water.Classification of hardness in waterClassificationLevel of hardness (mEqjlitre)a) Soft waterb) Moderately hardc) Hard waterd) Very hard waterLess than 1 (< 50 mg/L)1-3(50- 150 mg/L)3-6(I50-300mg/L)Over 6 (> 300 mg/L)",C
CCF is associated with increase in all the following except:,Right atrial mean pressure,Serum Sodium,Urea,Nor epinephrine,"Answer is B (Serum Sodium) Congestive Cardiac failure is associated with Hyponatremia or Decreased Serum Sodium levels. Hea failure is associated with Hyponatremia. - CMDT/Harrison Mechanism of hyponatremia is primary Na- gain exceeded by secondary water gain. In hea failure total body sodium is increased, yet effective circulating volume is sensed as inadequate by baroceptors. Increased ADH and Aldosterone results which causes retention of water and sodium. Secondary water gain exceeds primary sodium gain resulting in hyponatremia. Elevated serum urea levels may be seen. Biochemical studies in hea failure may show renal insufficiency. Renal functions tests also determine whether cardiac failure is associated with prerenal azotemia. Right atrial mean pressure is increased congestive hea failure. In hea failure one or the other ventricle fails to discharge its contents or fails to fill normally. As a result the pressure in the atrium and venous system behind (upstream) the failing ventricle rise. - Harrison In patients will hea failure the levels of circulating norepinephrine may be markedly elevated reflecting the increased activity of the adrenergic nervous system. - Harrison",B
All are true about Glomus body tumor except -,Also k/a chemodectoma,Also k/a paraganglinoma,Common in older age,Brain Metastasis is common,"glomus tumor (also known as a 'solitary glomus tumor,' 'solid glomus tumor,') is a rare neoplasm arising from the glomus body and mainly found under the nail, on the fingeip or in the foot.:670 They account for less than 2% of all soft tissue tumors.The majority of glomus tumors are benign, but they can also show malignant features. Histologically, glomus tumors are made up of an afferent aeriole, anastomotic vessel, and collecting venule. Glomus tumors are modified smooth muscle cells that control the thermoregulatory function of dermal glomus bodies. As stated above, these lesions should not be confused with paragangliomas, which were formerly also called glomus tumors in now-antiquated clinical usage. Glomus tumors do not arise from glomus cells, but paragangliomas do. Malignant glomus tumors, or glomangiosarcomas, are extremely rare and usually represent a locally infiltrative malignancy. However, metastases do occur and are usually fatal. Ref Harrison 20th edition pg 556",D
Diseases under International surveillance,Poliomyelitis,Rabies,Malaria,All of the above,"Diseases under International surveillance 

Rabies
Malaria
Relapsing fever
Human Influenza
Salmonellosis
Typhus fever (Louse borne)
Poliomyelitis",D
Which of the following is the site of Venous Thrombosis in Budd Chiari Syndrome?,Infrahepatic inferior vena cava,Infrarenal inferior vena cava,Hepatic vein,Poal vein,"Budd-Chiari Syndrome (BCS) is an uncommon congestive hepatopathy caused by the obstruction of hepatic venous outflow. Patients may present with acute signs and symptoms of abdominal pain, ascites, and hepatomegaly or more chronic symptoms related to long-standing poal hypeension. The obstruction may be thrombotic or nonthrombotic anywhere along the venous outflow system from the hepatic venules to the right atrium. Ref: Current Medical Diagnosis and Treatment, 2012, Chapter 16 ; Scwaz's Principles of Surgery, 9th Edition, Chapter 31",C
A patient presented with hemoptysis and persistent cough. The chest X-ray of the patient was normal. The next best investigation is?,Helical CT,High resolution CT,Bronchoscopy,Angiography,"* For most patients, the first step in evaluation of hemoptysis should be a standard chest radiograph. * If lesion is not seen then a high resolution CT chest should be done for visualization of lesion . * If all of these studies are unrevealing, bronchoscopy should be done .",B
Ergonomics is a discipline that deals with:-,Human relationship in the specific context of production,Study of working environment,Study of the system of laws and institutions,Fitting the job to the workers,"ERGONOMICS: Definition: Is the application of scientific information concerning objects, systems and environment for human use. Pre-placement examination: Fitting job to workers. Right man in Right job. Post-placement examination- Regular periodic examination: Annual - most occupational exposures. Every 2 months - Radiation exposure. Monthly - lead, dye, radium exposures. Daily - dichromates.",D
Dose of Vit D in children with malnutrition ?,100 1U,200 IU,"60,000 IU","10,0001U","Ans. is 'c' i.e., 60,000 IU The recommended daily allowance in normal infants is 200 IU (5 g) per day and in children 400 Ill (10 g) per day. a In vitamin D deficiency (in children), vitamin D is administered 60,0001U daily for 10 days (or a single dose of 600,000 IU) followed by a maintenance dose of 400 IU.",C
Which of the following signs is not suggestive of a cervical spinal cord injury :,Flaccidity,Increased rectal sphincter tone,Diaphragmatic breathing,Priapism,Answer is B (Increased Rectal Sphincter tone): Cervical spinal cord injury is associated with a decreased rectal sphincter tone (and not an increased rectal sphincter tone).,B
Pneumonia alba is due to,Klebsiella,Streptococci,Treponema Pallidum,Staphylococci,"Pneumonia alba seen in neonates with congenital syphilis. Pneumonia alba (white pneumonia) is often seen in neonates with congenital syphilis. The lung may be firm and pale, owing to the presence of inflammatory cells and fibrosis in the alveolar septa. Spirochetes are readily demonstrable in tissue sections . Ref Davidson edition23rd pg 584",C
Village health nutrition day (VHND) is observed:-,Every week,Every month,Every six months,Every year,"Village health and nutrition day : Under NRHM, VHND is observed 'Once every month' in every village. Usually organized at Anganwadi center. Purpose: To improve access to maternal, newborn, child health and nutrition services at the village level. ASHA, AWW & ANM organize VHND and mobilize women, adolescents, children.",B
"In a lady with bilateral superior temporal quadrantopia, galactorrhea, the most probable cause is:",Pituitary macroadenoma,Craniopharyngioma,Sheehan's syndrome,Pituitary hypophysitis,Answer is A (Pituitary Macroadenoma): Presence of galactorrhea (hyperprolactinemia) and bitemporal superior quadrantopia (visual field defect) is consistent with a diagnosis of pituitary macroadenoma. Both non secretory pituitary Macroadenoma and prolactin secreting Macroadenoma (Large Prolactinoma) may produce the above manifestation.,A
All of the following drugs are used for managing Status Epilepticus except :-,Phenytoin,Diazepam,Thiopentone sodium,Carbamazepine,"K.D Tripathy essentials of medical pharmacology 7th edition . *Drugs used for status epilepticus are lorazepam4mg i.v inj. at 2mg/min, Diazepam10mg i.v.inj.at 2mg/min, Fos phenytoin 100-150mg /min i.v infusion , Phenobarbitone sod.50-100mg i.v infusion *In refractory cases treat with i.v.thiopentone/propofol/midazolam. Ref Harrison20th edition pg 2378",D
Which parameter is the best to differentiate cardiac tamponade from tension pneumothorax?,Raised JVP,Breath sounds,Raised Hea rate,Not improving after initial fluid resuscitation,"Option A - Raised JVP is seen in both. Option B - Absent breath sound in tension pneumothorax Option C - Raised hea rate is a non-specific finding. Option D - both are example of obstructive shock, so IV fluid will not work.",B
"A 65-year-old man presents to your clinic after falling several times in the past few months. On examination, his most notable findings are an unstable, wide-based gait and marked retropulsion. He does have bradykinesia with masked facies and dysahria. You find no evidence of cogwheeling or resting tremor. His symptoms do not respond to levodopa/carbidopa. During the next few months, his eye movements are notable for the slowing of veical saccades and fast phases. What is the most likely diagnosis?",L-DOPA resistant PD,Progressive supranuclear gaze palsy,Multiple system atrophy,Foville syndrome,"Option A - Ruled out as resting tremors are absent & disease is ruled out as it is a ATYPICAL PARKINSONISM disease. Option B- since in the question its mentioned regarding the veical gaze of the patient, it's the most appropriate option. Option C- Ruled out as autonomic insufficiency isn't mentioned in the question. Option D- Manifestation of STROKE related to Pons with VIth nerve palsy.",B
Which of the following statements about peptic ulcer disease is true :,Helicobacter pylori eradication increases the likelihood of occurrence of complications,The incidence of complications has remained unchanged,The incidence of Helicobacter pylori reinfection in India is very low.,Helicobacter pylori eradication does not alter the recurrence ratio.,"Answer is B (The incidence of complications has remained unchanged) H. pylori eradication decreases the likelihood of occurrence of complications. The incidence of H.pylori is > 80% in most developing countries, and so the chances of reinfection are also high. H. pylori eradication reduced the chances of recurrence 'After successful eradication of H.pylori with antibiotics, ulcer recurrence rates are reduced dramatically to 5-20% at 1 year - CMDT 2003/571 Option 'b' 'The incidence of complications has remained unchanged' is thus the answer of exclusion !!",B
Which of the following is NOT transmitted by Aedesaegypti -,Filariasis,Yellow fever,Dengue fever,Chikungunya Hemorrhagic fever,"Ans. is 'a' i.e., Filariasis Filariasis is rarely transmitted by Aedes Aegypti mosquito. It is usually transmited by culex mosquito.",A
What should be the target INR in a patient on warfarin therapy?,1.5,2.5,3.5,4.5,"For most indications, warfarin is administered in doses that produce a target INR of 2.0- 3.0. An exception is patients with mechanical hea valves, where a target INR of 2.5-3.5 is recommended. Studies in atrial fibrillation demonstrate an increased risk of cardio embolic stroke when the INR falls to 4. Warfarin interferes with the synthesis of the vitamin K-dependent clotting proteins, which include prothrombin (factor II) and factors VII, IX, and X. Like all anticoagulants, the major side effect of warfarin is bleeding. A rare complication is skin necrosis. Warfarin crosses the placenta and can cause fetal abnormalities. Consequently, warfarin should not be used during pregnancy. Dabigatran etexilate, an oral thrombin inhibitor, and rivaroxaban, an oral factor Xa inhibitor are new oral anticoagulants.",B
One of the following is a stupefying agent,Atropine,Aconite,Datura,Nerium,Examples of stupefying poisons : Alcohol dhatura cannabis chloral hydrate,C
Following angiography findings are most likely seen in which condition:,Kawasaki,PAN,Takayasu,Giant cell arteritis,"Ans. B. PANImage shows angiographic vascular pathologya. Most probably it is seen in PAN (Polyarteritis nodosa)b. It is medium vessel vasculitis of renal & visceral vessels sparing the pulmonary circulationc. In PAN, small aneurysms are strung like the beads of arosary known as Rosary sign.",B
Salivary protein which prevents transmission of human immunodeficiency virus via saliva is:,Sialoperoxidase,Secretory IgA,Salivary leukocyte proteinase inhibitor,Histidine rich proteins,Salivary protein which prevents transmission of human immunodeﬁciency virus via  saliva is salivary leukocyte proteinase inhibitor.,C
The drugs not used for treatment of osteoporosis are-,Biphosphonates,Steroids,Denosumab,Calciam,", Ans. is 'b' i.e., Steroids Management of osteoporosisNon trharmacolosical therapyo Calcium and vitamin D supplementationo Important additional lifestyle measures includeExerciseSmoking cessationAvoidance o f heavy alcoholCounselling on fall preventionPharmacologic therapyEstrogenso A large body of clinical trial data indicates that various types of estrogens (conjugated equine estrogens, estradiol, estrone, esterified estrogens, eihinylestradiol and mestranol) reduce bone turnover, prevent bone loss and induce small increase in bone mass of spine, hip and total body.o The effect of estrogen are seen in women with natural or surgical menopause and in late menopausal women.Biphosphonate (Alendronate, risedronate, ibandronaie, Zoledronic acid)o First line therapy1 because of their efficacy, favourable cost and availability of the long term data.o Atendronate or risedronate are preferred.Denosumabo An alternative for patient who cannot tolerate biphosphonate or who have difficulty with dosing requirements and have impaired renal function.o Denosumab is a humanized monoclonal antibody against RANKL that reduces osteoclastogenesis.o RANKL is a member of TNF superfamily of ligands and receptors and is essential for the function of bone resorbing osteoclasts.o RANKL accelarates osteoclastogenesis when it binds to its receptor RANK.o Denosumab improve bone mineral density and reduce the incidence of new verierbral hip and non vertebral fractures by acting against RANKL.Raloxifeno Raloxifen is given for patients who cannot tolerate or are not candidates for any biphosphonates.o Raloxifen and tamoxifen are tissue selective estrogen receptor modulator.o Their characteristic feature is that they do not have pure agonist or antagonistic action on estrogen receptors.o SERMS are 'selective' that means SERM blocks estrogen in some tissues and activates estrogen action in others.o Raloxifen increases bone mineral density and reduces the risk of vertebral fractures.o Raloxifen also appears to lower the risk of breast cancer and itdoes not stimulate endometrial hyperplasia or vaginal bleeding.o Tamoxifen is another SERM used primarily for the prevention and management of breast cancer. It is not typically used for osteoporosis but postmenopausal women who are receiving treatment with tamoxifen for breast cancer are probably receiving bone protection.o Raloxifen is considered the first line drug for t/t of osteoprosis. However, it is somewhat less effective than estrogen and biphosphonates.Parathyroid hormone therapyo PTH therapy is suggested for patients with severe ostoporosis who are unable to tolerate any of the available biphosphonates or to those who continue to have fractures even after one year of biphosphonate therapy.o Parathyroid hormone seems an unlikely candidate for the treatment of osteoporosis because of its well described deleterious effect on bone. However, intermittent administration of recombinant human PTH stimulates bone formation more than resorption and is effective for fracture reduction.Exogenous vitamin Ko Exogenous vitamin K is required for the carboxylation of osteocalcin which in turn allows osteocalcin to bind to hydroxyapatite mineral.o A vitamine K2 preparation (menatetrone) is widely used for the treatment of osteoporosis in Japan.Strontium renelateo Strontium ranelate increases bone mass throughout the skeleton. It appears to be moderately antiresorptive while at the same time not causing much decrease in hone formation.o Pharmacological agents used to manage osteoporosis either act by : -Decreasing the rate of bone resorption fantiresorptive therapy)Promoting bone formation (anabolic therapy)o Since bone remodelling is a coupled process antiresorptive drugs ultimately decrease the rate of bone formation and therefore do not promote substantial gains in BMD.o Thus strontium renelate is unique because it decreases osteoclastosis as well as promote bone formation.o Strontium ranelate has a novel mechanism of action for an osteoporotic drug as it acts on bone resorption to reduce the rate of bone decay but also acts on bone formation preventing the growth of new bone.",B
"Expectation of life, free of disability is known as:-",Park's index,Smith's index,Sullivan index,Life index,Sullivan's index is defined as Disability free life expectancy (DFLE). Sullivan's index = Life expectancy -- duration of disability.,C
The causes of systemic secondary insult to injured brain include all of the following except -,Hypercapnia,Hypoxemia,Hypotension,Hypothermia,"Patients with primary brain injury whether due to any trauma or stroke are at significant risk for some secondary ischemic brain injury?

Causes of secondary brain injury are - Hypotension

Hypotension should be strictly avoided as significant hypotensive events as short as 10 minutes in duration have been shown to adversely influence the outcome after traumatic brain injury.
Even in patients with stroke or head trauma, who do not require I.C.P. monitoring, close attention to adequate cerebral perfusion is required.

Hypoxia

Hypoxia (percutaneous oxygen saturation < 90%) alone, or in combination with hypotension, also leads to secondary brain injury.

Fever

Fever can adversely affect the outcome of the patient.
So aggressive control of fever with a goal of normothermia is warranted and can usually be achieved with antipyretic medication and cooling blankets.

Hyperglycemia

This is also associated with worsened clinical outcome after stroke and trauma.
Intravenous insulin is encouraged for control of hyperglycemia as this allows better regulation of serum glucose level than subcutaneous insulin.
A reasonable goal is to maintain serum glucose level at < 160 mg/dl.

Also know,

Effect of hypothermia on secondary brain injury.

The drop in temperature inhibits the release of the excitatory neurotransmitter glutamate and attenuates the release of dopamine, in brain ischemia animal models, suggesting a protective effect of hypothermia in brain injury.

Secondary brain injury can be a major determinant in the outcome of the patient so strategies for minimizing secondary brain insults are an integral part of critical care of all patients.
Episodes of secondary brain insults are usually not associated with apparent neurological worsening, rather they lead to cumulative injury, which manifest as higher mortality or worsened long term functional outcome.
Thus clinical strategies to prevent secondary brain insults involve close monitoring of vital signs and risk factors to prevent secondary ischemia.",D
You have diagnosed a Patient clinically as having SLE and ordered 6 tests out of which 4 tests have come positive and 2 are negative. Which of the following values are required to determine the probability of SLE at this point?,Incidence of SLE and the predictive value of each test,"Prior probability of SLE, sensitivity and specificity of each test",Relative risk of SLE in the patient,Incidence and prevalence of SLE,"In this point where the diagnosis of SLE has to be determined, the application of Baye's theorem will come to aid. According to this theorem, by assessing the post-test probability of each test that has been done on this patient, the probability of SLE can be known. In return, the post-test probability is calculated by the following three parameters: i. Prior probability of SLE ii. Sensitivity of each test done iii. Specificity of each test done Ref: Park's Texbook of Preventive and Social Medicine 19th Edition; Pages 705; 119 - 122; Biomedical Informatics: Computer Applications in Health Care And Biomedicine By Edward Hance Sholiffe; 3rd Edition; Pages 99 - 100; Harrisons Textbook of Internal Medicine 16th Edition; Pages 09; The Cleveland Clinic Cardiology Board Review By Brian P. Griffin, Cuis M. Rimmerman, Eric J. Topol; 2007 Edition; Page 44",B
which one of the following is not the appropriate treatment of hypehyroidism due to subacute thyroiditis?,Propylthiouracil,Suppoive treatment,Subtotal thyroidectomy,beta blockers,"Subacute thyroiditis is a self-limited thyroid condition associated with a triphasic clinical course of hypehyroidism, hypothyroidism, and return to normal thyroid function. Subacute thyroiditis may be responsible for 15-20% of patients presenting with thyrotoxicosis and 10% of patients presenting with hypothyroidism . Recognizing this condition is impoant; because it is self-limiting, no specific treatment, such as antithyroid or thyroid hormone replacement therapy, is necessary in most patients. In some cases antithyroids are used to allete the symptoms . In general, the following three forms of subacute thyroiditis are recognized: Subacute granulomatous thyroiditis - Also known as subacute painful or de Quervain thyroiditis Subacute lymphocytic thyroiditis - Also known as subacute painless thyroiditis Subacute postpaum thyroiditis Treatment The treatment of subacute thyroiditis is generally suppoive to reduce the symptoms of thyrotoxicosis and to control neck pain in the setting of subacute granulomatous thyroiditis. Because no new hormone is being made, antithyroid medications are not effective in these conditions. Although the abnormal thyroid levels are temporary, emotional suppo is often necessary. Patients are often dehydrated from thyrotoxicosis; encourage all patients to drink 6-8 cups per day of noncaffeinated fluids. Surgical care is almost never recommended for subacute thyroiditis. In rare cases, surgery is recommended for patients who have frequent recurrences of thyrotoxicosis from subacute lymphocytic thyroiditis or recurrent pain from subacute granulomatous thyroiditis Ref - harrison internal medicine 20e p2708-2709",D
True about rickets -,Decreased alkaline phosphatase,Hyperphosphatemia,Hypophosphatemia,Hypophosphaturia,"In children, before epiphyseal fusion, vita- min D deficiency results in growth retardation associated with an expansion of the growth plate known as rickets. Vitamin D deficiency leads to impaired intestinal absorption of calcium, resulting in decreased serum total and ionized calcium values. This hypocalcemia results in secondary hyperparathyroidism, a homeostatic response that initially maintains serum calcium levels at the expense of the skeleton. Due to the PTH-induced increase in bone turnover, alkaline phosphatase levels are often increased. In addition to increasing bone resorption, PTH decreases urinary calcium excretion while promoting phosphaturia. This results in hypophosphatemia, which exacerbates the mineralization defect in the skeleton. Reference : page 2465-66 Harrison's Principles of Internal Medicine 19th edition",C
"Under the ESI act, sickness benefit is given to a person for a maximum period of how many days out of 365 days:",31 days,61 days,91 days,121 days,"Sickness benefit under the ESI act consists of periodical cash payment to an insured person in case of sickness. The benefit is payable for a maximum period of 91 days in any continuous period of 365 days, the daily rate being about 505 of daily wages. Ref: Park 21st edition, page 757. Chapter: Occupational health.",C
Diagnostic criteria for SIRS include all except:,Hypotension,Tachycardia,Tachypnoea,Leucocytosis,"Systemic inflammatory response syndrome (SIRS):Two or more of the following conditionsFever (oral temperature >38 deg C) or hypothermia (<36 deg C)Tachypnea (>24 breaths/min)Tachycardia (hea rate >90/min)Leukocytosis (>12000/micro L), leucopenia (<4000/micro L), or >10% bands(ref:Harrison's 18/e p2223, table 271-1)",A
"In a village having population of 1000, we found patients with ceain disease. The results of a new diagnostic test on that disease are also follows: Test Result: Disease Present Present + 180 400 - 20 400 What is the percent prevalence of disease?",0.2,2,18,20,"Village population = 1000 Total disease person = 180+20 = 200 In this 180 true positive so 20(200-180) false negative by test. But we want only percentage prevalence of disease only. Prevalence = (200/1000) x 100 = 20% Prevalence of disease is 20% in village % prevalence of disease by using diagnostic test used = (180/1000) x 100 = 18% Ref: Park's Textbook Of Preventive And Social Medicine By K. Park, 17th Edition, Page 56; Park's Textbook Of Preventive And Social Medicine By K. Park, 18th Edition, Page 55",D
HLA DQA1 is associated with,SLE,Sjogrens syndrome,Scleroderma,Ankylosing spondylosis,"Molecular analysis of human leukocyte antigen (HLA) class II genes has revealed that Sjogren's syndrome, regardless of the patient's ethnic origin, is highly associated with the HLA DQA1*0501 allele. Reference: Harrison 19th edition PG: 2166",B
Which is not a feature of Gerstmann syndrome?,Agraphia,Acalculia,Chorea,Finger agnosia,Gerstmann Syndrome: lesion of dominant Parital lobe due to occlusion of MCA. Features: 1. Acalculia 2. Agraphia 3. Finger agnosia 4. R and L disorientation,C
"Poisoning which is illuminous, translucent and waxy?",Iodine,Ammonium bromide,Cobra venom,Yellow phosphorus,"Features Yellow/white phosphorus Red phosphorus Colour and appearance White, waxy, crystalline translucent soft cylinders. On exposure to air becomes yellow Violet-red, amorphous mass Taste and odour Garlicky odour and taste Odourless and tasteless Luminosity in dark Luminous Not luminous Exposure to air Phosphorescence Not Phosphorescence Toxicity Highly toxic Non-toxic REF;THE SYNOPSIS OF FORENSIC MEDICINE:KS NARAYANA REDDY;28th EDITION;PAGE NO312",D
Which of the following is not true about inertization?,Relatively inexpensive,It is done for pharmaceutical waste,It involves mixing the waste with cement before disposal,It causes water pollution,"Ans. d. It causes water pollution (Ref: Park 23/e p792, 22/e p737)The process of 'inertization' involves mixing waste with cement and other substances before disposal, in order to minimize the risk of toxic substances contained in the wastes migrating into the surface water or ground water. It doesn't cause water pollution.InertizationThe process of 'inertization' involves mixing waste with cement and other substances before disposal, in order to minimize the risk of toxic substances contained in the wastes migrating into the surface water or ground water.A typical proportion of the mixture is: 65 per cent pharmaceutical waste, 15 per cent lime, 15 per cent cement and 5 per cent water.A homogeneous mass is formed and cubes or pellets are produced on site and then transported to suitable storage sites.AdvantageDisadvantage* Relatively inexpensive* Not applicable to infectious waste",D
