Question,A,B,C,D,Explanation,Answer
'Chains of lakes' appearance seen in,Acute pancreatitis,Chronic pancreatitis,Carcinoma pancreas,Strawberry gallbladder,"ERCP in Chronic pancreatitis Detection of early pathologies and simultaneous treatment possible (e.g., duct dilation, stent inseion) Ductal stones, seen as filling defects'Chain of lakes' or 'string of pearls' appearance (characteristic feature)Irregularity, dilation of the main pancreatic duct Ref: Sabiston 20th edition Pgno :1531-1536",B
Most common ALL subtypes?,Pre Bcell,Pre T cell,T cell,B cell,Most common subtype of ALL is L1 according to older classification and pre B cell variety by the latest WHO classification. The recent WHO international panel on ALL recommends that the FAB classification be abandoned since the morphological classification has no clinical or prognostic relevance. It instead advocates the use of the immunophenotypic classification.( ref Robbins 9th/590),A
Tunica reaction is positive in ?,R prowazekii,R typhi,R tsutsugamushi,R akari,"Ans. is 'b' i.e., R typhi Neill - Mooser (Tunica) reaction When male guinea pigs are inoculated intraperitoneally with blood from a case of endemic typhus or with a culture of R. typhi (R. mooseri) they develop fever and a characteristic scrotal inflammation. This reaction is used to differentiate R. typhi and R. prowazekii.",B
The node of Ranvier is seen in,Cell body,Axons,Dendrites,Terminalbutons,"Nodes of Ranvier are periodic gaps in the myelin sheath on the axon.
A neuron is a functional unit (the basic unit of nervous tissue).
It is specialized for the function of reception, integration and transmission of information in the body,
The basic structure of the neuron is best studied in a spinal motor neuron,
This cell has a ‘cell body (soma)' with 5-7 small processes called ‘dendrites'.
There is a long process called ‘axon’ that originate from “axon hillock (A thickened area of cell body from which axon originates)”.
The first portion of the axon is called “initial segment”.
In a motor neuron, the axon hillock and the initial segment of axon have the lowest threshold for excitation",B
The immediate precursor in the formation of acetoacetate from acetyl CoA in the liver is,Mevalonate,HMG CoA,Acetoacetyl CoA,3-Hydroxybutyryl,"HMG CoA 


Acetoacetyl-CoA is the starting material for ketogenesis.



However, it is HMG-CoA from which acetoacetate arises.",B
Which of the following infestations leads to malabsorption?,Giardia lamblia,Ascaris lumbricoides,Necator americana,Ancylostoma duodenale,"Ans. (a) Giardia lamblia Remember: Ascaris lumbricoides in small intestine usually cause no symptoms. In children it may cause pain and intestinal obstruction sometimes complicated by perforation, intussusception or volvulus. Migration to aberrant site can cause biliary colic, cholecystitis, cholangitis, pancreatitis or rarely intrahepatic abscess. Intestinal phase of A.duodenale cause epigastric pain, inflammatory diarrhea and iron deficiency anemia.",A
Artery of 2nIi pharyngeal arch is -,Maxillaiy artery,Stapedial artery,Subclavian artery,Commoncarotid artery,"Ans. is 'b' i.e., Stapedial artery Pharyngeal ArchMuscular ContributionSkeletal ContributionsNerveArteryCorresponding Pouch Structures1st (mandibular arch)Muscles of mastication, Anterior belly of the digastric,Mylohyoid,Tensor tympani.Tensor veli palatiniMaxilla, mandible (only as a model for mandible not actual formation of mandible). Incus andMalleus, Meckel's cartilage, Ant. Ligament of malleus,SphenomandibularligamentTrigeminal nerve (V2 and V3)Maxillary artery,External carotid arteryEustachian tube,middleear, mastoid antrum,and inner layer ofthe tympanicmembrane.2nd (hyoid archMuscles of facialexpression,Buccinator,Pfatysma,Stapedius,Stylohoid,Posterior belly of the digastricStapes, Styloid process hyoid (lesser horn and upper part of body),Reichert's cartilage.Stylohyoid ligamentFacial nerve (VII)StapedialArterymiddle ear, palatine tonsils3rdStylopharyngeusHyoid (greater horn and lower part of body), thymusGlossophar- yngeal nerve (IX)Common carotid'Internal carotidInferior parathyroid.Thymus4th Cricothyroid muscle, all intrinsic muscles of soft palate incluidng levator veli palatini Thyroid cartilage, epiglottic cartilage Vagus nerve (X)Superior laryngeal nerve Right 4th aortic arch subclavian artery Left 4th aortic arch: aortic arch Superior parathyroid, uitimobranchial body (which forms the Para follicular C-Cells of thyroid gland).6thAll intrinsic muscles of larynx except the cricothyroid muscleCricoid cartilage, arytenoid cartilages, comiculate cartilageVagus nerve (X)RecurrentlaryngealnerveRight aortic arch: pulmonary artery Left 6th aortic arch:Pulmonary artery and ductus arteriosusRudimentary structure, becomes part of the fourth pouch contributing to thyroidC-cells.",B
Napier's Aldehyde test is done for:,Kala-azar,Malaria,Acanthamoeba,Entamoeba,Ans: A (Kala-azar) 'Napier's Aldehyde test & Chopra's antimony test are nonspecific serum test for Leishmaniasis''-Panikar Parasitology 7th/58,A
Residual volume of lung is defined as: March 2013,Additional volume of air that can be inspired forcefully after the end of normal inspiration,Volume of air breathed out of lungs in a single normal quiet respiration,Additional volume of air that can be expired forcefully after normal expiration,Volume of air remaining in lungs even after forced expiration,Ans. D i.e. Volume of air remaining in lungs even after forced expiration,D
A 28-year-old HIV patient presents with non-productive cough and difficulty in breathing which was progressively increasing. Chest X-ray shows diffuse bilateral interstitial infiltrates along with pneumatocele. Gomori's methenamine silver staining of the bronchoalveolar lavage shows the following. The most probable causative organism is,H.capsulatum,P.jirovecii,R.seeberi,C.neoformans,"The given clinical picture and the GMS stain showing the black colored stained cysts resembling the crushed ping pong balls are suggestive of pneumocystis pneumonia. It is caused by Pneumocystis jirovecii. Patients with PCP generally present with fever and cough that is usually non-productive. Finding on chest x-ray is either a normal film if the disease is suspected early, or diffuse bilateral interstitial infiltrates. The classic finding of dense perihilar infiltrate is unusual in patients with AIDS. Treatment: Trimethoprim-sulfamethoxazole and pentamidine isethionate. Reference: Ananthanarayan and Paniker&;s Textbook of Microbiology Tenth edition",B
Which of the following type of joint is found in the small joints of the veebrae?,Hinge joint,Saddle joint,Gliding joint,Condyloid joint,Plane joint or gliding joint allows gliding movements of the plane joint surfaces and is found in the small joints of the veebrae.Hinge joint: In this type of joint a cylindrical bone end is applied to a gutterlike depression in a hollow skeletal cylinder. Because of its shape this type of joint have only one axis of movement and two main movements.Saddle joint: It consist of two concave curved surfaces with two main axes of movement that are perpendicular to each other and allow four main movements. Condyloid joint: It has an elliptical head fitted into a convex and concave socket. They have two main axes perpendicular to each other and allow four main movements.Ref: The Human Body: An Introduction to Structure and Function By Adolf Faller page 122.,C
Regarding prion which of the following statements is true?,It is protein product coded in viral DNA,It catalyzes abnormal folding of other protein,It protects disulfide bond from oxidation,It cleaves normal proteins,"Ans. is 'b' i.e., It catalyzes abnormal folding of other protein Prions are small protein-containing infectious particles with no detectable nucleic acid. They were suspected to be viruses but otherwise do not conform to the standard definition of viruses. They differ from the viruses in their many properties. The prions show following characteristics:1. Prions like viruses are filterable.2. They apparently lack any virion structure or genome.3. Unlike viruses, they are unusually resistant to inactivation by heat, disinfectants and radiation.4. They do not elicit any specific immune response in the infected host.",B
Hamburger phenomenon deals with the following:,Chloride shift,Oxygen uptake,Cellular ATP levels,Plasma potassium level,"Chloride shift (Hamburger phenomenon) the HCO3- diffuses out of the RBCs into the plasma, the inside of the cells become less negatively charged. Because the RBC membrane is relatively impermeable to cation, so in order to neutralize this effect, negatively charged chloride ions diffuse from the plasma into the RBCs to replace the HCO3-. The movement of chloride ions into the RBCs is called chloride shift or Hamburger phenomenon. Ref: Essentials of Medical Physiology By Khurana, 2008, Page 256.",A
A 47-year-old woman is admitted to the hospital with pain in her neck. During physical examination it is observed that the thyroid gland is enlarged and is compressing the trachea. A biopsy reveals a benign tumor. A CT scan examination reveals tracheal deviation to the left. Which of the following structures will most likely be compressed as a result of the deviation?,Left brachiocephalic vein,Left internal jugular vein,Left subclavian artery,Vagus nerve,A left tracheal deviation with an enlarged thyroid gland will most likely compress the left brachiocephalic vein. The other answer choices lie too far laterally to be affected by the tracheal deviation.,A
"In recommending treatment for your carcinoid patient, you will consider all of the following except",Cyproheptadine,Ketanserin,Methysergide,Sumatriptan,"All of the drugs listed have significant blocking effects on 5HT receptors except sumatriptan, which is an agonist at 5HT1 receptors.",D
Antimitochondrial antibodies are found in 90% of patients with,Primary biliary cirrhosis,Chronic active hepatitis,Seminoma,Choriocarcinoma,"The most characteristic immunologic abnormality associated with primary biliary cirrhosis is the presence of antimitochondrial antibodies, which are found in 90% of affected individuals.This antibody is predominantly IgG. Antimitochondrial antibodies also can be detected in persons with other liver diseases but with a much lower frequency (less than 10%) and usually in low titer.",A
Effect of efferent aeriole constriction and afferent aeriole dilatation on GFR is?,Increases,Decreases,No change,First increase then decrease,"Increases REF: Ganong's 22' chapter 38 Increase in renal blood flow increases GFR. Afferent aeriole brings blood to the nephron hence its dilation will increase renal blood flow, and efferent aeriole takes blood away from the nephrons, hence its constriction will cause increase filtration, hence increase in GFR.",A
Incubation period of Rabies depends on:,Severity of bite,Number of bite,Site of bite,All of the above.,"1. Incubation period of Rabies is 1-3 months. 2. The incubation period is less: If the patient is bitten on the head or neck. If inoculum is heavy. Multiple bites. Deep wounds, or large wounds in Children. 3.Pathogenesis of Rabies Mode of transmission - Bite (most common), lick on abrasion, corneal transplant, air borne. Mode of spread - Sensory Nerve - UMN - sympathetic - nervous system. Speed of rabies progress in sensory nerve - 3mm/hr.",D
Transport of two substances in the same direction is called as?,Symport,Antiport,Exocytosis,Pinocytosis,"When the transported molecule and cotransported ion move in the same direction, the process is called Symport; when they move in opposite directions, the process is called Antiport",A
Which of the following method is most commonly used for sterilizing syringes and glassware?,Irradiation,Autoclave,Hot air oven,Glutaraldehyde,"Hot air oven is the most widely used method of sterilisation by dry heat. It is the preferred method for sterilizing glassware. It is ued to sterilize glassware, glass syringe, forceps, scissors, scalpel, swabs, paraffin etc. Glasswares should be perfectly dry before placing into the oven. 2% gluteraldehyde is used to sterilize thermometer, cystoscope, bronchoscope, centrifuges and anaesthetic equipments.",C
A 2-day-old female infant with fever is examined by the pediatric team. Imaging reveals malrotation of the small intestine without fixation of the mesenteries. The vessels around the duodenojejunal junction are obstructed and the intestine is at risk of becoming gangrenous. Which of the following has occurred to cause the obstruction?,Diaphragmatic atresia,Subhepatic cecum,Midgut volvulus,Duplication of the intestine,"Midgut volvulus is a possible complication of malrotation of the midgut loop without fixed mesentery. The small intestines twist around the vasculature that is providing support for them. This can result in ischemic necrosis of the intestine. Diaphragmatic atresia is not a cause of volvulus. Subhepatic cecum is due to failure of the descent of the cecal bud and results in the absence of an ascending colon. Duplication of the intestine would not cause volvulus because there would still be a fixed mesentery and no free movement of the intestines. Congenital megacolon is due to faulty migration of neural crest cells into the wall of the colon, which causes a lack of parasympathetic postganglionic neurons.",C
FROMENT'S SIGN is due to which nerve injury?,Intercostobrachial nerve,Radial nerve,Ulnar nerve,Median nerve,"FROMENT'S SIGN/BOOK TEST: - Tests Adductor pollicis muscle - It is innervated by ULNAR NERVE - In ulnar nerve injury, when the patient is asked to grasp a book firmly b/w thumb & other fingers of both the hands, Terminal phalanx of thumb on paralysed side becomes flexed at interphalangeal joint",C
Rigler's triad consists of all except,Intestinal obstruction,Gas in bile duct,Cholangitis,Ectopic gallstone,"Gall stone ileus Passage of stone through a spontaneous biliary-enteric fistula leading to a mechanical bowel obstruction Clinical features Rigler's triad : Classic plain abdominal film triad of small bowel obstruction, pneumobilia & ectopic gallstone Ref: Sabiston 20th edition Pgno :1506-1507",C
Which is true about Enterobacteriaceae,All are oxidase negative,Nitrate reduction negative,Glucose not fermented by all,Motility by polar flagellum,"They are motile by peritrichous flagella, ferments glucose producing acid, reduces nitrates to nitrites, but forms catalase, not oxidase. They are non-sporing, non-acid, Gram-negative bacilli that are found in the gut of man and animals. Reference: Textbook of Microbiology; Anathanarayan and paniker's; 10th edition; Page no: 279",A
How many Lactiferous ducts open in nipple -,0-10,15-20,25-50,50-75,"Ans. is 'b' i.e., 15-20 o The nipple is pierced by 15-20 lectiferous ducts.",B
Acetyl-CoA carboxylase activity requires:,Pantothenate,Biotin,Thiamine pyrophosphate,Riboflavin,"4 carboxylases that require biotin Acetyl-CoA carboxylase Pyruvate carboxylase, Propionyl-CoA carboxylase, Methyl-crotonyl coA carboxylase",B
Largest trematode infecting man is: March 2013,F. hepatica,F. buski,E. granulosus,Clonorchosis sinensis,"Ans. B i.e. F. buski Fasciolopsis buski It is commonly called the giant intestinal fluke, because it is an exceptionally large parasitic fluke, and the largest known to parasitise humans. Its size is variable and a mature specimen might be as little as 2 cm long, but the body may grow to a length of 7.5 cm and a width of 2.5 cm. It is a common parasite of humans and pigs and is most prevalent in Southern and Southeaster n Asia. It is a member of the family Fasciolidae in the order Echinostomida. The Echinostomida are members of the class Trematoda, the flukes. The fluke differs from most species that parasitise large mammals, in that they inhabit the gut rather than the liver as Fasciola species do. Fasciolopsis buski generally occupies the upper region of the small intestine, but in heavy infestations can also be found in the stomach and lower regions of the intestine. Fasciolopsis buski is the cause of the pathological condition fasciolopsiasis.",B
"You have been designated as a coordinator of construction of a bone marrow transplant unit (BMTU). There will be extensive removal of walls and floors in order to install the laminar flow rooms required for a BMTU. From the standpoint of frequency and lethality, which of the following fungi should be your biggest concern?",Aspergillus species,Candida species,Cryptococcus species,Penicillium species,"Fungal infections are potentially serious in a bone marrow transplant unit (BMTU), Candida and Aspergillus are the most common causes of infection in BMT patients and both have a risk of mortality. However, the two differ in that Candida is a human commensal and cannot be excluded by construction practices and environmental air monitoring. On the other hand, aspergilli are ubiquitous in the environment. There are instances of multiple infections in new units that have not been monitored prior to opening or in units adjacent to construction projects. Strict precautions should be taken to exclude dust and debris from the BMTU area during construction, but in any event, the environment should be monitored for airborne microorganisms, especially Aspergillus, prior to opening the unit. Zygomycetes may also be present in the air but are a less frequent cause of opportunistic infection in the BMT patient. While Penicillium organisms are also frequent in air, the species associated with opportunistic infection, P. marneffei, is endemic in Southeast Asia where it causes disease in the AIDS patient. Pneumocystis jiroveci is an anthropophilic organism with a human reservoir and, like, Candida not excluded by construction practices. Although particularly recognized for opportunistic infection in AIDS patients, other immunocompromised patients may also have infection, including the occasional BMT patient.",A
The commonest organism causing cellulitis is,Streptococcus pyogenes,Streptococcus faecalis,Streptococcus viridans,Microaerophilic streptococci,"Streptococcus pyogenes causes a variety of suppurative infection of the skin, including infection of the wound or burns, with a predilection to produce cellulitis and lymphangitis. Streptococcal subcutaneous infection ranges from cellulitis to Necrotising fasciitis. Reference: Textbook of Microbiology; Anathanarayan and paniker's; 10th edition; Page no: 215",A
"In estimation of bilirubin, the solution is examined at",540 nm,450 nm,480 nm,580 nm,"Ans: b (450nm) Ref: Vasudevan 4th ed/p.480The characteristic absorption maximums of some importantsubstances are:- Protein, peptide linkage- 220 nmProtein, tryptophan units- 280 nmNucleic acids- 260 nmDeoxy haemoglobin- 565 nmBilirubin- 450 nmNADH- 340 nmFAD- 450 nmFADH2- 570 nmPorphyrin- 400 nm",B
Uncinate process is a pa of which bone,Nasal,Ethmoid,Maxilla,Frontal,"In the ethmoid bone, a curved lamina, the uncinate process, projects downward and backward from this pa of the labyrinth; it forms a small pa of the medial wall of the maxillary sinus, and aiculates with the ethmoidal process of the inferior nasal concha. Ref - medscape.com",B
All the following are features of Cardiac muscle Except,Striated,Large T tubules,Troponin system present,Caldesmon is impoant regulatory protein,"Some Differences among Skeletal, Cardiac, and Smooth MuscleNoSkeletal MuscleCardiac MuscleSmooth Muscle1StriatedStriatedNonstriated2No syncytiumSyncytialSyncytial3Small T tubulesLarge T tubulesGenerally rudimentary T tubules4Sarcoplasmic reticulum well developed andCa2+ pump acts rapidlySarcoplasmic reticulum present andCa2+ pump acts relatively rapidlySarcoplasmic reticulum often rudimentaryand Ca2+ pump acts slowly5Plasmalemma contains few hormonesreceptorsPlasmalemma contains a variety ofreceptors (eg, a- and b-adrenergic)Plasmalemma contains a variety ofreceptors (eg, a- and b-adrenergic)6Nerve impulse initiates contractionHas intrinsic rhythmicityContraction initiated by nerve impulses,hormones, etc7Extracellular fluid Ca2+ not impoant forcontractionExtracellular fluid Ca2+ impoant forcontractionExtracellular fluid Ca2+ impoant forcontraction8Troponin system presentTroponin system presentLacks troponin system; uses regulatoryhead of the myosin9Caldesmon not involvedCaldesmon not involvedCaldesmon is impoant regulatory protein10Very rapid cycling of the cross-bridgesRelatively rapid cycling of the cross bridgesSlow cycling of the cross-bridges permitsslow, prolonged contraction and lessutilization of ATPRef: Harper&;s Biochemistry; 30th edition; Chapter 51; Muscle & the cytoskeleton; Table 51-3",D
Rathke's pouch is derived from -,Telencephalon,Mesencephalon,Metencephalon,Stomodaeum,"Ans. is 'd' i.e., Stomodaeum o The Rathke's pouch is an ectodermal upgrowth from the stomodaeum in front of buccopharyngeal membrane.",D
Mark the false statement regarding types of nucleotide repair,UV radiation exposure leads to the formation of Thymine-thymine dimers,MUTYH associate polyposis is associated with base excision repair,Mismatch repair is done in G1 phase of cell cycle,Base excision repair mainly occurs in G1 phase,"Type of repair Phase of cell cycle Damage Cause Disease Nucleotide excision G1 Thymine - Thymine dimers (T-T Dimers) UV radiation Xeroderma pigmentosa Base excision repair G1 mainly (occur in any phase) Cytosine deaminated to uracil Spontaneous, heat, infra red rays, viral infection, Nitrous Oxide MUTYH associate polyposis Mismatch repair G2 Mismatched base Proof-reading error HNPCC (Herediatry Non Polyposis Colorectal Cancer) HNPCC also known as Lynch syndrome - | risk for developing colon cancer. Xeroerma Pigmentosa - | chances of skin malignancy.",C
A child suffered from a viral illness for which he took aspirin. 3 days later the child presented to the emergency with altered sensorium and icterus. What is the underlying biochemical defect -,Beta oxidation of fatty acids,Glucose-6-phosphatase deficiency,Pyruvate dehydrogenase deficiency,Urea cycle defect,Reye syndrome is characterized by acute non-inflammatory encephalopathy and fatty degenerative liver failure. Reye syndrome typically occurs after a viral illness and is associated with the use of aspirin during the illness. The pathogenesis of Reye syndrome: Appears to involve mitochondrial injury resulting in dysfunction that inhibits oxidative phosphorylation and fatty-acid beta-oxidation,A
All of the following forms visceral relation of spleen EXCEPT:,Fundus of stomach,Left kidney,Splenic flexure of colon,Duodenum,Ans. (d) DuodenumRef : BDC 6th ed. vol. II / 303VISCERAL RELATIONS OF SPLEEN* Spleen forms visceral relation with the following nearby organs:# Fundus of the stomach# The anterior surface of the left kidney# Splenic flexure of the colon and# The tail of the pancreas,D
Iron is actively absorbed in:,Stomach,Duodenum and proximal jejunum,Large intestine,Ileum,B i.e. Duodenum and proximal jejunumAlmost all iron absorption occurs in duodenum and upper jejunum (proximal small intestine)Q.Most of the iron in diet is in ferric form (Fe3+) but it is ferrous (Fe+2) that is absorbedQ. Transpo of Fe 2+ into enterocyte occurs DMT1.,B
Which one of the following is the most common central nervous system parasitic infection,Echinococcosis,Paragonimiasis,Sparaganosis,Neurocysticercosis,(D) Neurocysticercosis > Neurocysticercosis is a predominant manifestation of T. solium Infection,D
Hemagglutinin and neuraminidase are found in:,Norovirus,Hantavirus,Influenza virus,Rubella virus,Ans. C. Influenza virusHemagglutinin is for attachment to sialic acid/mucin receptors and neuraminidase/mucinase is for release/elution.,C
Following are complication of diphtheria except:,Polyneuritis,Myocarditis,Palatal paralysis,Veigo,Veigo is not seen in diphtheria. The neurological complications like polyneuritis and palatal paralysis are totally reversible. Myocarditis is the most common cause of death in diphtheria due to circulatory failure.,D
Protein A of staphylococcus binds to -,IgA,IgG,IgD,IgE,"Ans. is 'b' i.e., IgG Virulence factors of staphylococcus aureuso Protein 'A' binds to Fc terminal of IgG (IgG 1,2 & 4 but not IgG3) and prevents opsonophagocytosis by PMNs . It is a B-cell mitogen. It is chemotactic, anti-complementory and antiphagocytico Heat stable nuclease (DNAase) is a characteristic feature of staph aureus.o Staphylococcus produces five cytolytic toxins, consisting of four hemolysins (alpha, beta, gamma and delta) and a leucocidin.o a - hemolysin is the most important hemolysin.o Beta - hemolysin is a sphingomyelinase. It exhibits a hot-cold phenomenon, the hemolysis being initiated at 37degC, but becoming evident only after chillingo Leucocidin is also called the Panton-valentine toxin.o Staphylococcal leucocidin and gamma lysin have been grouped as synergohymenotropic toxins.o Toxic shock syndrome toxin (TSST), exfoliative toxin and enterotoxins are superantigens which are potent activators of T lymphocytes and lead to an excessive and dysregulated immune response with release of cytokines IL-1, IL-2, TNF-a and IFN-g.o Enterotoxin is responsible for food poisoning, o Exfoliative (epidermolytic) toxin# Responsible for staphylococcal scalded skin syndrome (S.S.S.S.).# Severe form of SSSS is known as Ritter's disease in newborn and toxic epidermal necrolysis in older patients. Milder forms are pemphigus neonatorum and bullous impetigo.o Hyaluronidase is helpful in persistent skin infection.",B
Cords of Billroth in spleen are found in,Mantle zone,Trabecular zone,Red pulp,White pulp,"75% of spleen is red pulp, predominantly having RBCs. 25% of spleen is white pulp, predominantly having WBCs Red pulp contains sinusoids which are filled with RBCs & blood and splenic cords of billroth White pulp contains lymphoid follicles &periaerial lymphatic sheath.",C
Aflatoxins are produced by,Aspergillus flavus,Aspergillus niger,Aspergillus fumigatus,Candida,"The best-known mycotoxin is aflatoxin produced by Aspergillus flavus. It is present in ground nuts, corns and peas. It can cause hepatoma in animals. Ref: Textbook of Microbiology, Ananthanarayan and Paniker; 9th edition",A
Which of the following is true regarding total heat production during a muscle contraction?,Activation heat is produced when a muscle is contracting,Initial heat produced is the due of basal metabolic processes,Relaxation heat is present in both isotonic and isometric contractions,Recovery heat of muscle is greater than the initial heat,"Activation heat is the heat that muscle produces whenever it contracts. Heat Production in Muscle Resting Heat: The heat given off at rest due to the basal metabolic processes . Initial Heat: The heat produced in excess of resting heat during contraction. It is made up of two subtypes: Activation Heat: The heat that muscle produces whenever it is contracting, and Shoening Heat: The heat which is propoional in amount to the distance the muscle shoens. Shoening heat is apparently due to some change in the structure of the muscle during shoening. Recovery Heat: This is the heat liberated by the metabolic proccesses that restore the muscle to its precontraction state. The recovery heat of muscle is approximately equal to the initial heat. Relaxation Heat: Heat released in a muscle that has contracted isotonically to restore it to its previous length. This extra heat is in addition to recovery heat. Ref: Ganong&;s Review of Medical Physiology 25th edition Pgno: 109-110",A
"Examination of a patient demonstrates foot drop with weakness of the anterior tibial, posterior tibial, and peroneal muscles. Sensory loss is demonstrated over the anterior shin and dorsal foot. These findings suggest a radiculopathy at which of the following cord levels?",C-7,L-5,S-3,T-9,"The findings are typical for involvement at the L5 level. Most ruptured disks involve either the lumbar area (L5 and S1 most common) or the cervical area (C-6 and C-7 most commonly). Compression by a disk of the cervical cord can produce a spastic paresis of the lower limbs; compression of the cauda equina can cause urine retention or incontinence.C-7 supplies the back of the shoulders, down the back of the arm, past the elbow, to the back of the second and third fingers.S-3 supplies a small area on the buttocks.T-9 supplies a band on the abdomen and back that passes above the umbilicus.T-12 supplies a similar band that passes below the umbilicus.Also Know: The dermatomes for C5, C6, C7, C8, and T1 are confined to the arm, and the C4 and T2 dermatomes are contiguous over the anterior trunk.The thumb, middle finger, and fifth digit are within the C6, C7, and C8 dermatomes, respectively.The nipple is at the level of T4.The umbilicus is at the level of T10.",B
Voltage gated sodium channels are?,Multimeric,Pentameric,Heterotrimer,Monomeric,"Ans. is 'c' i.e., Heterotrimer lRef: Principles of medical physiology p. 24There are two different types of Sodium channels:-l) Voltage-gated sodium channel:These Are Present inExcitable cells.These exist as heterodimers or heterotrimers of alpha and beta subunits, containing one alpha and one or two betasubunits.2) Epithelial sodium channels:These are present in the epithelium of absorptive or secretory epithelium,e.g. colon, sweat gland duct, pancreatic duct, respiratory passage, and distal tubule of kidney.These exist as heterotetramers of alpha, beta and gamma subunits, containing mostly two alpha, one beta and one gamma subunits.",C
Which of the follow ing is an example of heterophile antibody test-,Widal test,Weil-Felix reaction,Rose-wraler test,Blood grouping & cross matching,"Ans. is 'b' i.e., Weil-Felix reaction Ref: Ananthanarayan 9th/ep. 109 &- 8th/e p. 108; Immunology Lachmann 4th/ ep. 1534. 1535]Heterophilic agglutination reactiono Some organisms of different class or species share closely related antigens.o When serum containing agglutinin (antibody) of one organism gives agglutination reaction with antigen of other organism, it is called heterophilic agglutination test.Examples areo Streptococcus M.G agglutination test for primary atypical pneumonia,o Weil - Felix reaction for typhus fever.o Paul Bunnell test for IMN.",B
All of the following are (Jnconjugated Hyperbilirubinemias EXCEPT,Criggler Najjar syndrome Type 1,Gilbert's syndrome,Dubin Johnson syndrome,Criggler Najjar syndrome Type 2,"(C) Dubin Johnson syndrome # Crigler-Najjar syndrome (CNS) is a rare autosomal recessive disorder of bilirubin metabolism. Two distinct forms have been described, as follows: type 1 and type 2.> Type 1 CNS, first described in 1952 by Crigler and Najjar, is associated with neonatal unconjugated hyperbilirubinemia (high levels) and kernicterus.> Type 2 CNS (Arias syndrome), first described in 1962 by Arias, presents with a lower serum bilirubin level and responds to phenobarbital treatment.> CNS is elicited by a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT).> A markedly elevated unconjugated (indirect) hyperbilirubinemia is observed in inherited disorders such as Gilbert syndrome and CNS. Among the inherited unconjugated hyperbilirubinemias, Gilbert syndrome is believed to affect approximately 3-7% of the adult population.> Dubin Johnson syndrome & Rotor syndromes are inborn errors of metabolism which lead to conjugated hyperbilirubinemia",C
Paramyxoviruses enters the body ?,Blood,Respiratory route,Conjunctiva,Fecal-oral route,"Ans. is 'b' i.e., Respiratory route Myxoviruses Myxoviruses are enveloped RNA viruses. They are characterized by ability to adsorb on to mucoprotein (affinity for mucin) on erythrocytes causing agglutination of erythocytes.",B
The enzymes engaged in the transfer of electrons are known as,Oxidoreductases,Transferases,Lyases,Ligases,"Enzymes are grouped into the following six classes: 1.Oxidoreductases: Enzymes that catalyze oxidations and reductions. 2.Transferases: Enzymes that catalyze the transfer of moieties such as glycosyl, methyl, or phosphoryl groups. 3.Hydrolases: Enzymes that catalyze hydrolytic cleavage of C'C, C'O, C'N, and other covalent bonds. 4.Lyases: Enzymes that catalyze the cleavage of C'C, C'O, C'N, and other covalent bonds by atom elimination, generating double bonds.5.Isomerases: Enzymes that catalyze geometric or structural changes within a molecule. 6.Ligases: Enzymes that catalyze the joining together (ligation)Oxidoreductases are fuher classified into four groups: oxidases, dehydrogenases, hydroperoxidases, and oxygenasesReference: Explanation: Harper's Biochemistry; 30th edition; Chapter 7; Enzymes: Mechanism of action",A
Colipase is:,Is secreted by Oxyntic cells,Is secreted in the active form,Helps gastric lipase,Encoded by the gene CLPS,"Colipase is a small protein cofactor needed by pancreatic lipase for efficient dietary lipid hydrolyisis. It is secreted as an inactive form procolipase by the pancreas and in the intestinal it is conveed to the active form by trypsin. Efficient absorption of dietary fats is dependent on the action of pancreatic triglyceride lipase. Colipase binds to the C-terminal, non-catalytic domain of lipase, thereby stabilising as active conformation and considerably increasing the overall hydrophobic binding site. It is encoded by the gene CLPS. Ref: Ganong's Review of Human Physiology, 21st Edition, Page 476",D
Which amino acid does not take part in transamination,Proline,Alanine,Tryptophan,Histidine,"All amino acids can take part in transamination except:
a) Threonine b) Lysine c) Proline",A
Which of the following groups of proteins assist in the folding of other proteins?,Proteases,Proteosomes,Templates,Chaperones,Chaperones are proteins that assist the covalent folding or unfolding and the assembly or disassembly of other macromolecular structures. Chaperones are present when the macromolecules perform their normal biological functions and have correctly completed the processes of folding and/or assembly. The chaperones are concerned primarily with protein folding,D
Which of these fatty acids is found exclusively in breast milk?,Linoleate,Linolenic,Palmitic,Docosahexaenoic acid,"Ans. D. Docosahexaenoic acid(Ref: Harper31/e page 197, Table 21.2)Docosahexaenoic acid is present in fish oils, phospholipids of brain, algal oils.DHA is otherwise called cervonic acid.It belongs to o3 fatty acid.",D
"During the T-P interval in an ECG of a patient with a damaged cardiac muscle, which of the following is true?",The entire ventricle is depolarized,The entire ventricle is depolarized except for the damaged cardiac muscle,The entire ventricle is repolarized,The entire ventricle is repolarized except for the damaged cardiac muscle,"During the T-P interval in a patient with a damaged ventricle, the only area depolarized is the damaged muscle. Therefore, the remainder of the ventricle is repolarized. At the J point, the entire ventricle is depolarized in a patient with a damaged cardiac muscle or in a patient with a normal cardiac muscle. The area of the hea that is damaged will not repolarize but remains depolarized at all times.",D
